"Time (ms)","Recording (a.u.)"
3.270957233E0,-1.792374998E-2
3.291791356E0,-1.781862602E-2
3.312625478E0,-1.768859848E-2
3.333459601E0,-1.758576371E-2
3.354293723E0,-1.749603823E-2
3.375127846E0,-1.737216301E-2
3.395961968E0,-1.723261364E-2
3.416796091E0,-1.711084321E-2
3.437630213E0,-1.698914543E-2
3.458464336E0,-1.688407734E-2
3.479298458E0,-1.678466611E-2
3.500132581E0,-1.664845273E-2
3.520966703E0,-1.655893400E-2
3.541800826E0,-1.650669798E-2
3.562634948E0,-1.642595604E-2
3.583469071E0,-1.638831943E-2
3.604303193E0,-1.633691415E-2
3.625137316E0,-1.624240167E-2
3.645971438E0,-1.617373154E-2
3.666805561E0,-1.611991040E-2
3.687639683E0,-1.608730853E-2
3.708473806E0,-1.608877257E-2
3.729307928E0,-1.608658582E-2
3.750142051E0,-1.608575508E-2
3.770976173E0,-1.609434187E-2
3.791810296E0,-1.610823162E-2
3.812644418E0,-1.614446379E-2
3.833478541E0,-1.617448218E-2
3.854312663E0,-1.622679830E-2
3.875146786E0,-1.629770175E-2
3.895980908E0,-1.631851681E-2
3.916815031E0,-1.636021771E-2
3.937649153E0,-1.640631072E-2
3.958483276E0,-1.641480252E-2
3.979317398E0,-1.641662046E-2
4.000151521E0,-1.636762917E-2
4.020985643E0,-1.633679494E-2
4.041819766E0,-1.634093188E-2
4.062653888E0,-1.627662778E-2
4.083488011E0,-1.613398455E-2
4.104322133E0,-1.596739143E-2
4.125156256E0,-1.582015678E-2
4.145990378E0,-1.560367271E-2
4.166824501E0,-1.532130130E-2
4.187658623E0,-1.503738947E-2
4.208492746E0,-1.471620053E-2
4.229326868E0,-1.442868635E-2
4.250160991E0,-1.411643997E-2
4.270995113E0,-1.365827490E-2
4.291829236E0,-1.317183487E-2
4.312663358E0,-1.269586012E-2
4.333497481E0,-1.218560245E-2
4.354331603E0,-1.162394974E-2
4.375165726E0,-1.106427424E-2
4.395999848E0,-1.056216657E-2
4.416833971E0,-1.001502853E-2
4.437668093E0,-9.402583353E-3
4.458502216E0,-8.816439658E-3
4.479336338E0,-8.279381320E-3
4.500170461E0,-7.749134675E-3
4.521004584E0,-7.238286547E-3
4.541838706E0,-6.769659463E-3
4.562672829E0,-6.271711551E-3
4.583506951E0,-5.790015683E-3
4.604341074E0,-5.371503532E-3
4.625175196E0,-4.967926536E-3
4.646009319E0,-4.591673613E-3
4.666843441E0,-4.271675833E-3
4.687677564E0,-3.960553557E-3
4.708511686E0,-3.646839177E-3
4.729345809E0,-3.434687387E-3
4.750179931E0,-3.287583822E-3
4.771014054E0,-3.134979866E-3
4.791848176E0,-3.034098074E-3
4.812682299E0,-2.939992817E-3
4.833516421E0,-2.849078504E-3
4.854350544E0,-2.803597599E-3
4.875184666E0,-2.799311187E-3
4.896018789E0,-2.888003830E-3
4.916852911E0,-3.029823769E-3
4.937687034E0,-3.147295211E-3
4.958521156E0,-3.243197221E-3
4.979355279E0,-3.369850339E-3
5.000189401E0,-3.570939414E-3
5.021023524E0,-3.802611958E-3
5.041857646E0,-4.011396319E-3
5.062691769E0,-4.235532600E-3
5.083525891E0,-4.495806526E-3
5.104360014E0,-4.732566420E-3
5.125194136E0,-4.929095972E-3
5.146028259E0,-5.167550407E-3
5.166862381E0,-5.473554134E-3
5.187696504E0,-5.760188214E-3
5.208530626E0,-5.999682471E-3
5.229364749E0,-6.208905485E-3
5.250198871E0,-6.423207931E-3
5.271032994E0,-6.617409177E-3
5.291867116E0,-6.791714579E-3
5.312701239E0,-7.025457919E-3
5.333535361E0,-7.263534237E-3
5.354369484E0,-7.458083332E-3
5.375203606E0,-7.673977874E-3
5.396037729E0,-7.864536718E-3
5.416871851E0,-8.019050583E-3
5.437705974E0,-8.269764483E-3
5.458540096E0,-8.572367951E-3
5.479374219E0,-8.753362112E-3
5.500208341E0,-8.949821815E-3
5.521042464E0,-9.276790544E-3
5.541876586E0,-9.544158354E-3
5.562710709E0,-9.779984131E-3
5.583544831E0,-1.011089701E-2
5.604378954E0,-1.044352911E-2
5.625213076E0,-1.069840696E-2
5.646047199E0,-1.095880754E-2
5.666881321E0,-1.130004786E-2
5.687715444E0,-1.163892727E-2
5.708549566E0,-1.195857581E-2
5.729383689E0,-1.232950389E-2
5.750217811E0,-1.268132962E-2
5.771051934E0,-1.303581893E-2
5.791886056E0,-1.344542671E-2
5.812720179E0,-1.385695301E-2
5.833554301E0,-1.430149656E-2
5.854388424E0,-1.474935003E-2
5.875222546E0,-1.513881609E-2
5.896056669E0,-1.552795433E-2
5.916890791E0,-1.594066247E-2
5.937724914E0,-1.636971533E-2
5.958559036E0,-1.680506393E-2
5.979393159E0,-1.717550121E-2
6.000227281E0,-1.748721674E-2
6.021061404E0,-1.778011024E-2
6.041895526E0,-1.810299791E-2
6.062729649E0,-1.849412918E-2
6.083563771E0,-1.888386905E-2
6.104397894E0,-1.916249096E-2
6.125232016E0,-1.929495111E-2
6.146066139E0,-1.939849369E-2
6.166900261E0,-1.954585686E-2
6.187734384E0,-1.967334747E-2
6.208568506E0,-1.974651404E-2
6.229402629E0,-1.977527328E-2
6.250236751E0,-1.976190135E-2
6.271070874E0,-1.963148639E-2
6.291904996E0,-1.941150427E-2
6.312739119E0,-1.921707578E-2
6.333573241E0,-1.896209642E-2
6.354407364E0,-1.858456060E-2
6.375241486E0,-1.813725941E-2
6.396075609E0,-1.764763892E-2
6.416909731E0,-1.710610464E-2
6.437743854E0,-1.653156802E-2
6.458577976E0,-1.592448354E-2
6.479412099E0,-1.518990099E-2
6.500246221E0,-1.437747572E-2
6.521080344E0,-1.355537493E-2
6.541914466E0,-1.266574115E-2
6.562748589E0,-1.173693314E-2
6.583582711E0,-1.082182862E-2
6.604416834E0,-9.862200357E-3
6.625250956E0,-8.842178620E-3
6.646085079E0,-7.820677012E-3
6.666919201E0,-6.739750504E-3
6.687753324E0,-5.551653914E-3
6.708587446E0,-4.375073127E-3
6.729421569E0,-3.250287380E-3
6.750255692E0,-2.112817252E-3
6.771089814E0,-9.151583072E-4
6.791923937E0,3.271419555E-4
6.812758059E0,1.551272813E-3
6.833592182E0,2.769880462E-3
6.854426304E0,4.023167305E-3
6.875260427E0,5.272433162E-3
6.896094549E0,6.532364059E-3
6.916928672E0,7.836013101E-3
6.937762794E0,9.093686007E-3
6.958596917E0,1.032299362E-2
6.979431039E0,1.159008220E-2
7.000265162E0,1.288554072E-2
7.021099284E0,1.415289938E-2
7.041933407E0,1.535789482E-2
7.062767529E0,1.654573157E-2
7.083601652E0,1.772342995E-2
7.104435774E0,1.891511306E-2
7.125269897E0,2.013214678E-2
7.146104019E0,2.132147178E-2
7.166938142E0,2.250125073E-2
7.187772264E0,2.368027903E-2
7.208606387E0,2.480165660E-2
7.229440509E0,2.586468123E-2
7.250274632E0,2.689957246E-2
7.271108754E0,2.794664167E-2
7.291942877E0,2.903745696E-2
7.312776999E0,3.012485430E-2
7.333611122E0,3.112187795E-2
7.354445244E0,3.205411509E-2
7.375279367E0,3.301757574E-2
7.396113489E0,3.398350999E-2
7.416947612E0,3.486826271E-2
7.437781734E0,3.573192284E-2
7.458615857E0,3.660448641E-2
7.479449979E0,3.743429482E-2
7.500284102E0,3.823121637E-2
7.521118224E0,3.893714398E-2
7.541952347E0,3.961550444E-2
7.562786469E0,4.031748697E-2
7.583620592E0,4.095995799E-2
7.604454714E0,4.153347760E-2
7.625288837E0,4.205776751E-2
7.646122959E0,4.254923016E-2
7.666957082E0,4.300250858E-2
7.687791204E0,4.333615676E-2
7.708625327E0,4.359371215E-2
7.729459449E0,4.390258342E-2
7.750293572E0,4.414654151E-2
7.771127694E0,4.427506775E-2
7.791961817E0,4.436263815E-2
7.812795939E0,4.433686659E-2
7.833630062E0,4.423129559E-2
7.854464184E0,4.410545900E-2
7.875298307E0,4.394293576E-2
7.896132429E0,4.373550788E-2
7.916966552E0,4.345259070E-2
7.937800674E0,4.312536865E-2
7.958634797E0,4.271772504E-2
7.979468919E0,4.224846512E-2
8.000303042E0,4.177561775E-2
8.021137164E0,4.121985659E-2
8.041971287E0,4.062208533E-2
8.062805409E0,4.004129022E-2
8.083639532E0,3.938153386E-2
8.104473654E0,3.864565864E-2
8.125307777E0,3.792280704E-2
8.146141899E0,3.719004244E-2
8.166976022E0,3.639641777E-2
8.187810144E0,3.554400429E-2
8.208644267E0,3.469004110E-2
8.229478389E0,3.383184597E-2
8.250312512E0,3.293291852E-2
8.271146634E0,3.201524168E-2
8.291980757E0,3.105945885E-2
8.312814879E0,3.005388379E-2
8.333649002E0,2.907885239E-2
8.354483124E0,2.813892625E-2
8.375317247E0,2.715828270E-2
8.396151369E0,2.610500529E-2
8.416985492E0,2.504761145E-2
8.437819614E0,2.403392270E-2
8.458653737E0,2.300474048E-2
8.479487859E0,2.196305245E-2
8.500321982E0,2.097594179E-2
8.521156104E0,1.999761350E-2
8.541990227E0,1.895049959E-2
8.562824349E0,1.790877059E-2
8.583658472E0,1.698688418E-2
8.604492594E0,1.606643759E-2
8.625326717E0,1.504030637E-2
8.646160839E0,1.407003496E-2
8.666994962E0,1.317779161E-2
8.687829084E0,1.227735169E-2
8.708663207E0,1.139813382E-2
8.729497329E0,1.052435394E-2
8.750331452E0,9.637188166E-3
8.771165574E0,8.757980540E-3
8.791999697E0,7.939906791E-3
8.812833819E0,7.159135304E-3
8.833667942E0,6.338097155E-3
8.854502064E0,5.504485220E-3
8.875336187E0,4.718118347E-3
8.896170309E0,3.968493547E-3
8.917004432E0,3.219653154E-3
8.937838554E0,2.480405150E-3
8.958672677E0,1.770001487E-3
8.979506799E0,1.062936382E-3
9.000340922E0,3.724004782E-4
9.021175045E0,-2.848535078E-4
9.042009167E0,-9.163593058E-4
9.062843290E0,-1.544635277E-3
9.083677412E0,-2.211784711E-3
9.104511535E0,-2.866222057E-3
9.125345657E0,-3.483910346E-3
9.146179780E0,-4.103255924E-3
9.167013902E0,-4.731047433E-3
9.187848025E0,-5.319125950E-3
9.208682147E0,-5.840063095E-3
9.229516270E0,-6.399295758E-3
9.250350392E0,-7.010731380E-3
9.271184515E0,-7.605806924E-3
9.292018637E0,-8.199620061E-3
9.312852760E0,-8.755450137E-3
9.333686882E0,-9.284004569E-3
9.354521005E0,-9.839719161E-3
9.375355127E0,-1.035476476E-2
9.396189250E0,-1.086931489E-2
9.417023372E0,-1.145985909E-2
9.437857495E0,-1.199831441E-2
9.458691617E0,-1.243962813E-2
9.479525740E0,-1.286597364E-2
9.500359862E0,-1.334664598E-2
9.521193985E0,-1.383565925E-2
9.542028107E0,-1.427440904E-2
9.562862230E0,-1.469169743E-2
9.583696352E0,-1.506582648E-2
9.604530475E0,-1.541980729E-2
9.625364597E0,-1.577787288E-2
9.646198720E0,-1.612363942E-2
9.667032842E0,-1.644608192E-2
9.687866965E0,-1.670005918E-2
9.708701087E0,-1.692762598E-2
9.729535210E0,-1.718204096E-2
9.750369332E0,-1.744451374E-2
9.771203455E0,-1.768341288E-2
9.792037577E0,-1.786965877E-2
9.812871700E0,-1.799823716E-2
9.833705822E0,-1.808659174E-2
9.854539945E0,-1.817720942E-2
9.875374067E0,-1.828139834E-2
9.896208190E0,-1.835306920E-2
9.917042312E0,-1.838278584E-2
9.937876435E0,-1.839181408E-2
9.958710557E0,-1.843150705E-2
9.979544680E0,-1.846000180E-2
1.000037880E1,-1.841751300E-2
1.002121292E1,-1.831819117E-2
1.004204705E1,-1.821287349E-2
1.006288117E1,-1.817352325E-2
1.008371529E1,-1.815268956E-2
1.010454941E1,-1.807852462E-2
1.012538354E1,-1.796524413E-2
1.014621766E1,-1.782877371E-2
1.016705178E1,-1.772797480E-2
1.018788590E1,-1.763145253E-2
1.020872003E1,-1.750806347E-2
1.022955415E1,-1.739322767E-2
1.025038827E1,-1.728735864E-2
1.027122239E1,-1.717427000E-2
1.029205652E1,-1.703126729E-2
1.031289064E1,-1.689020172E-2
1.033372476E1,-1.677100174E-2
1.035455888E1,-1.667036861E-2
1.037539301E1,-1.660322025E-2
1.039622713E1,-1.655356772E-2
1.041706125E1,-1.648683846E-2
1.043789537E1,-1.640343480E-2
1.045872950E1,-1.638097689E-2
1.047956362E1,-1.640984416E-2
1.050039774E1,-1.638967544E-2
1.052123186E1,-1.633835584E-2
1.054206599E1,-1.635373197E-2
1.056290011E1,-1.641210169E-2
1.058373423E1,-1.643466763E-2
1.060456835E1,-1.649132371E-2
1.062540248E1,-1.658185944E-2
1.064623660E1,-1.660954580E-2
1.066707072E1,-1.664732769E-2
1.068790484E1,-1.674992032E-2
1.070873897E1,-1.686071604E-2
1.072957309E1,-1.691258326E-2
1.075040721E1,-1.692657918E-2
1.077124133E1,-1.697773486E-2
1.079207546E1,-1.703656837E-2
1.081290958E1,-1.705633290E-2
1.083374370E1,-1.702969521E-2
1.085457782E1,-1.699584723E-2
1.087541195E1,-1.697303727E-2
1.089624607E1,-1.688459888E-2
1.091708019E1,-1.672734693E-2
1.093791431E1,-1.657560468E-2
1.095874844E1,-1.639902033E-2
1.097958256E1,-1.612388715E-2
1.100041668E1,-1.581403427E-2
1.102125080E1,-1.554721035E-2
1.104208493E1,-1.527550723E-2
1.106291905E1,-1.492592879E-2
1.108375317E1,-1.452165376E-2
1.110458729E1,-1.411906257E-2
1.112542142E1,-1.368457731E-2
1.114625554E1,-1.319379359E-2
1.116708966E1,-1.265207119E-2
1.118792378E1,-1.211537980E-2
1.120875791E1,-1.163393073E-2
1.122959203E1,-1.114640757E-2
1.125042615E1,-1.061228942E-2
1.127126028E1,-1.006391179E-2
1.129209440E1,-9.526671842E-3
1.131292852E1,-9.019846097E-3
1.133376264E1,-8.511429653E-3
1.135459677E1,-7.983606309E-3
1.137543089E1,-7.488876581E-3
1.139626501E1,-7.010404486E-3
1.141709913E1,-6.537855137E-3
1.143793326E1,-6.150232628E-3
1.145876738E1,-5.807180889E-3
1.147960150E1,-5.461439490E-3
1.150043562E1,-5.156404339E-3
1.152126975E1,-4.903626163E-3
1.154210387E1,-4.685082473E-3
1.156293799E1,-4.502613097E-3
1.158377211E1,-4.361570813E-3
1.160460624E1,-4.242664669E-3
1.162544036E1,-4.157290794E-3
1.164627448E1,-4.119667690E-3
1.166710860E1,-4.102508072E-3
1.168794273E1,-4.115981981E-3
1.170877685E1,-4.178950097E-3
1.172961097E1,-4.249924794E-3
1.175044509E1,-4.362443462E-3
1.177127922E1,-4.543035291E-3
1.179211334E1,-4.731478170E-3
1.181294746E1,-4.922494292E-3
1.183378158E1,-5.141259171E-3
1.185461571E1,-5.329574458E-3
1.187544983E1,-5.510373507E-3
1.189628395E1,-5.710652098E-3
1.191711807E1,-5.923210178E-3
1.193795220E1,-6.191579625E-3
1.195878632E1,-6.449376233E-3
1.197962044E1,-6.659052800E-3
1.200045456E1,-6.932359189E-3
1.202128869E1,-7.233449258E-3
1.204212281E1,-7.486043498E-3
1.206295693E1,-7.756042760E-3
1.208379105E1,-8.044930175E-3
1.210462518E1,-8.293257095E-3
1.212545930E1,-8.479692973E-3
1.214629342E1,-8.697967045E-3
1.216712754E1,-8.967792615E-3
1.218796167E1,-9.185366333E-3
1.220879579E1,-9.347315878E-3
1.222962991E1,-9.572301060E-3
1.225046403E1,-9.843458422E-3
1.227129816E1,-1.006012503E-2
1.229213228E1,-1.026074216E-2
1.231296640E1,-1.047333516E-2
1.233380052E1,-1.068294700E-2
1.235463465E1,-1.094112918E-2
1.237546877E1,-1.121970639E-2
1.239630289E1,-1.146102976E-2
1.241713701E1,-1.172602829E-2
1.243797114E1,-1.206911542E-2
1.245880526E1,-1.237642765E-2
1.247963938E1,-1.261655614E-2
1.250047350E1,-1.292573754E-2
1.252130763E1,-1.331080869E-2
1.254214175E1,-1.368994638E-2
1.256297587E1,-1.402468327E-2
1.258380999E1,-1.438163128E-2
