"Time (ms)","Recording (a.u.)"
3.250123111E0,1.520319283E-2
3.270957233E0,1.576738805E-2
3.291791356E0,1.614338532E-2
3.312625478E0,1.637203619E-2
3.333459601E0,1.648775861E-2
3.354293723E0,1.648202166E-2
3.375127846E0,1.637802459E-2
3.395961968E0,1.614096388E-2
3.416796091E0,1.577911526E-2
3.437630213E0,1.531437226E-2
3.458464336E0,1.471634582E-2
3.479298458E0,1.399010792E-2
3.500132581E0,1.309698448E-2
3.520966703E0,1.202759892E-2
3.541800826E0,1.083499379E-2
3.562634948E0,9.517970495E-3
3.583469071E0,8.122127503E-3
3.604303193E0,6.662527099E-3
3.625137316E0,5.104439333E-3
3.645971438E0,3.541669343E-3
3.666805561E0,1.991381869E-3
3.687639683E0,4.196190275E-4
3.708473806E0,-1.081323018E-3
3.729307928E0,-2.516743029E-3
3.750142051E0,-3.939022776E-3
3.770976173E0,-5.317799281E-3
3.791810296E0,-6.643748377E-3
3.812644418E0,-7.878475823E-3
3.833478541E0,-9.051834233E-3
3.854312663E0,-1.020073704E-2
3.875146786E0,-1.128217019E-2
3.895980908E0,-1.228056103E-2
3.916815031E0,-1.322810166E-2
3.937649153E0,-1.410292275E-2
3.958483276E0,-1.489285193E-2
3.979317398E0,-1.570302062E-2
4.000151521E0,-1.654774696E-2
4.020985643E0,-1.733196899E-2
4.041819766E0,-1.808809116E-2
4.062653888E0,-1.882984862E-2
4.083488011E0,-1.949035004E-2
4.104322133E0,-2.006188221E-2
4.125156256E0,-2.055978216E-2
4.145990378E0,-2.097055689E-2
4.166824501E0,-2.122977190E-2
4.187658623E0,-2.135375701E-2
4.208492746E0,-2.134231105E-2
4.229326868E0,-2.122643217E-2
4.250160991E0,-2.102072164E-2
4.270995113E0,-2.068280056E-2
4.291829236E0,-2.025265247E-2
4.312663358E0,-1.972468384E-2
4.333497481E0,-1.910127141E-2
4.354331603E0,-1.835503988E-2
4.375165726E0,-1.742305979E-2
4.395999848E0,-1.636030897E-2
4.416833971E0,-1.518239640E-2
4.437668093E0,-1.390130911E-2
4.458502216E0,-1.253013406E-2
4.479336338E0,-1.099451352E-2
4.500170461E0,-9.372571483E-3
4.521004584E0,-7.753168233E-3
4.541838706E0,-6.040308625E-3
4.562672829E0,-4.190413281E-3
4.583506951E0,-2.319635125E-3
4.604341074E0,-4.705161555E-4
4.625175196E0,1.382522401E-3
4.646009319E0,3.218054539E-3
4.666843441E0,4.978484474E-3
4.687677564E0,6.667826790E-3
4.708511686E0,8.347589523E-3
4.729345809E0,9.969748557E-3
4.750179931E0,1.144227199E-2
4.771014054E0,1.276328601E-2
4.791848176E0,1.396093797E-2
4.812682299E0,1.503444090E-2
4.833516421E0,1.602016948E-2
4.854350544E0,1.698643714E-2
4.875184666E0,1.791968942E-2
4.896018789E0,1.874621026E-2
4.916852911E0,1.952883415E-2
4.937687034E0,2.032467537E-2
4.958521156E0,2.104862779E-2
4.979355279E0,2.165080793E-2
5.000189401E0,2.214913443E-2
5.021023524E0,2.253316157E-2
5.041857646E0,2.281754836E-2
5.062691769E0,2.298097126E-2
5.083525891E0,2.299134061E-2
5.104360014E0,2.284890786E-2
5.125194136E0,2.254057117E-2
5.146028259E0,2.205457911E-2
5.166862381E0,2.140787244E-2
5.187696504E0,2.066777647E-2
5.208530626E0,1.984586008E-2
5.229364749E0,1.887739636E-2
5.250198871E0,1.777004451E-2
5.271032994E0,1.656767353E-2
5.291867116E0,1.522401907E-2
5.312701239E0,1.373783592E-2
5.333535361E0,1.215927768E-2
5.354369484E0,1.049113460E-2
5.375203606E0,8.732885122E-3
5.396037729E0,6.879698485E-3
5.416871851E0,5.016149022E-3
5.437705974E0,3.145160154E-3
5.458540096E0,1.164233778E-3
5.479374219E0,-8.534988156E-4
5.500208341E0,-2.859424567E-3
5.521042464E0,-4.834760912E-3
5.541876586E0,-6.765111815E-3
5.562710709E0,-8.659096435E-3
5.583544831E0,-1.036965661E-2
5.604378954E0,-1.191519015E-2
5.625213076E0,-1.334764156E-2
5.646047199E0,-1.454269141E-2
5.666881321E0,-1.547285356E-2
5.687715444E0,-1.619468816E-2
5.708549566E0,-1.677737571E-2
5.729383689E0,-1.720467024E-2
5.750217811E0,-1.740478165E-2
5.771051934E0,-1.743638515E-2
5.791886056E0,-1.734638959E-2
5.812720179E0,-1.707580313E-2
5.833554301E0,-1.657547057E-2
5.854388424E0,-1.588134095E-2
5.875222546E0,-1.500961091E-2
5.896056669E0,-1.393406093E-2
5.916890791E0,-1.261022128E-2
5.937724914E0,-1.103516668E-2
5.958559036E0,-9.308843873E-3
5.979393159E0,-7.440534420E-3
6.000227281E0,-5.441736430E-3
6.021061404E0,-3.429879202E-3
6.041895526E0,-1.408630516E-3
6.062729649E0,6.002346054E-4
6.083563771E0,2.501427429E-3
6.104397894E0,4.286976065E-3
6.125232016E0,5.969037767E-3
6.146066139E0,7.584245875E-3
6.166900261E0,9.122237563E-3
6.187734384E0,1.052390411E-2
6.208568506E0,1.177354343E-2
6.229402629E0,1.285247505E-2
6.250236751E0,1.380212884E-2
6.271070874E0,1.459990442E-2
6.291904996E0,1.522524748E-2
6.312739119E0,1.573671587E-2
6.333573241E0,1.610888913E-2
6.354407364E0,1.631647907E-2
6.375241486E0,1.640490443E-2
6.396075609E0,1.640363783E-2
6.416909731E0,1.626576111E-2
6.437743854E0,1.598954387E-2
6.458577976E0,1.565954462E-2
6.479412099E0,1.519294549E-2
6.500246221E0,1.452745311E-2
6.521080344E0,1.378759556E-2
6.541914466E0,1.291658077E-2
6.562748589E0,1.182273682E-2
6.583582711E0,1.055049710E-2
6.604416834E0,9.190122597E-3
6.625250956E0,7.784531917E-3
6.646085079E0,6.300324108E-3
6.666919201E0,4.752254114E-3
6.687753324E0,3.183329478E-3
6.708587446E0,1.627920894E-3
6.729421569E0,1.068125130E-4
6.750255692E0,-1.400185633E-3
6.771089814E0,-2.871238627E-3
6.791923937E0,-4.324465524E-3
6.812758059E0,-5.789869465E-3
6.833592182E0,-7.150711492E-3
6.854426304E0,-8.405284956E-3
6.875260427E0,-9.606800042E-3
6.896094549E0,-1.072037220E-2
6.916928672E0,-1.174907666E-2
6.937762794E0,-1.273418497E-2
6.958596917E0,-1.372160390E-2
6.979431039E0,-1.464233361E-2
7.000265162E0,-1.545291487E-2
7.021099284E0,-1.626953483E-2
7.041933407E0,-1.710234024E-2
7.062767529E0,-1.790697873E-2
7.083601652E0,-1.866736636E-2
7.104435774E0,-1.938687079E-2
7.125269897E0,-2.004906721E-2
7.146104019E0,-2.060536109E-2
7.166938142E0,-2.109937370E-2
7.187772264E0,-2.151365951E-2
7.208606387E0,-2.179348469E-2
7.229440509E0,-2.194119990E-2
7.250274632E0,-2.194756642E-2
7.271108754E0,-2.183364332E-2
7.291942877E0,-2.160065435E-2
7.312776999E0,-2.129026875E-2
7.333611122E0,-2.092002332E-2
7.354445244E0,-2.034563757E-2
7.375279367E0,-1.958565228E-2
7.396113489E0,-1.876610518E-2
7.416947612E0,-1.785250939E-2
7.437781734E0,-1.684160531E-2
7.458615857E0,-1.566559263E-2
7.479449979E0,-1.432447135E-2
7.500284102E0,-1.291014999E-2
7.521118224E0,-1.137728896E-2
7.541952347E0,-9.728259407E-3
7.562786469E0,-8.023865521E-3
7.583620592E0,-6.285487209E-3
7.604454714E0,-4.496252164E-3
7.625288837E0,-2.644823398E-3
7.646122959E0,-7.915117894E-4
7.666957082E0,1.058487571E-3
7.687791204E0,2.900652122E-3
7.708625327E0,4.714798182E-3
7.729459449E0,6.497278810E-3
7.750293572E0,8.154518902E-3
7.771127694E0,9.680528194E-3
7.791961817E0,1.112089865E-2
7.812795939E0,1.240104251E-2
7.833630062E0,1.352446154E-2
7.854464184E0,1.457617898E-2
7.875298307E0,1.558765396E-2
7.896132429E0,1.651970297E-2
7.916966552E0,1.737654954E-2
7.937800674E0,1.821032353E-2
7.958634797E0,1.904460974E-2
7.979468919E0,1.983435266E-2
8.000303042E0,2.048239857E-2
8.021137164E0,2.102469653E-2
8.041971287E0,2.151305974E-2
8.062805409E0,2.189329267E-2
8.083639532E0,2.213471383E-2
8.104473654E0,2.220976725E-2
8.125307777E0,2.215491608E-2
8.146141899E0,2.196317166E-2
8.166976022E0,2.159192227E-2
8.187810144E0,2.108770050E-2
8.208644267E0,2.041118965E-2
8.229478389E0,1.959849708E-2
8.250312512E0,1.872294024E-2
8.271146634E0,1.770357601E-2
8.291980757E0,1.652985811E-2
8.312814879E0,1.525392942E-2
8.333649002E0,1.392267924E-2
8.354483124E0,1.249142550E-2
8.375317247E0,1.090632658E-2
8.396151369E0,9.256608784E-3
8.416985492E0,7.514476310E-3
8.437819614E0,5.658341106E-3
8.458653737E0,3.778441809E-3
8.479487859E0,1.863750629E-3
8.500321982E0,-9.192197467E-5
8.521156104E0,-2.068184316E-3
8.541990227E0,-4.026592243E-3
8.562824349E0,-5.980119575E-3
8.583658472E0,-7.934991270E-3
8.604492594E0,-9.735456668E-3
8.625326717E0,-1.135221124E-2
8.646160839E0,-1.282926090E-2
8.666994962E0,-1.412746310E-2
8.687829084E0,-1.521508954E-2
8.708663207E0,-1.608688757E-2
8.729497329E0,-1.680736057E-2
8.750331452E0,-1.737305522E-2
8.771165574E0,-1.767997071E-2
8.791999697E0,-1.779349335E-2
8.812833819E0,-1.778005436E-2
8.833667942E0,-1.761338115E-2
8.854502064E0,-1.728521660E-2
8.875336187E0,-1.675076969E-2
8.896170309E0,-1.600898802E-2
8.917004432E0,-1.506041083E-2
8.937838554E0,-1.383721177E-2
8.958672677E0,-1.235297509E-2
8.979506799E0,-1.070534438E-2
9.000340922E0,-8.932532743E-3
9.021175045E0,-7.022222504E-3
9.042009167E0,-4.968579393E-3
9.062843290E0,-2.863341477E-3
9.083677412E0,-8.212131797E-4
9.104511535E0,1.126401243E-3
9.125345657E0,3.028080799E-3
9.146179780E0,4.887009971E-3
9.167013902E0,6.607120857E-3
9.187848025E0,8.191342466E-3
9.208682147E0,9.700724855E-3
9.229516270E0,1.108730212E-2
9.250350392E0,1.232462749E-2
9.271184515E0,1.345295832E-2
9.292018637E0,1.444521360E-2
9.312852760E0,1.524393447E-2
9.333686882E0,1.583699882E-2
9.354521005E0,1.632507890E-2
9.375355127E0,1.669570804E-2
9.396189250E0,1.688379981E-2
9.417023372E0,1.694769412E-2
9.437857495E0,1.689366251E-2
9.458691617E0,1.672197320E-2
9.479525740E0,1.645380259E-2
9.500359862E0,1.606485434E-2
9.521193985E0,1.558584720E-2
9.542028107E0,1.495305076E-2
9.562862230E0,1.412075385E-2
9.583696352E0,1.313614193E-2
9.604530475E0,1.202753745E-2
9.625364597E0,1.084297709E-2
9.646198720E0,9.495898150E-3
9.667032842E0,8.027802221E-3
9.687866965E0,6.523243152E-3
9.708701087E0,4.960886203E-3
9.729535210E0,3.409204539E-3
9.750369332E0,1.838569413E-3
9.771203455E0,2.763743105E-4
9.792037577E0,-1.221205224E-3
9.812871700E0,-2.700608922E-3
9.833705822E0,-4.174127243E-3
9.854539945E0,-5.632451735E-3
9.875374067E0,-6.973956712E-3
9.896208190E0,-8.185144514E-3
9.917042312E0,-9.367965162E-3
9.937876435E0,-1.050919294E-2
9.958710557E0,-1.156619005E-2
9.979544680E0,-1.252884138E-2
1.000037880E1,-1.346520986E-2
1.002121292E1,-1.439981163E-2
1.004204705E1,-1.527791563E-2
1.006288117E1,-1.609766670E-2
1.008371529E1,-1.691707037E-2
1.010454941E1,-1.772210747E-2
1.012538354E1,-1.845704764E-2
1.014621766E1,-1.914139464E-2
1.016705178E1,-1.979434304E-2
1.018788590E1,-2.034906670E-2
1.020872003E1,-2.078228258E-2
1.022955415E1,-2.111263946E-2
1.025038827E1,-2.127493359E-2
1.027122239E1,-2.127553150E-2
1.029205652E1,-2.120171115E-2
1.031289064E1,-2.104674093E-2
1.033372476E1,-2.079348639E-2
1.035455888E1,-2.043208666E-2
1.037539301E1,-1.992537454E-2
1.039622713E1,-1.928773336E-2
1.041706125E1,-1.855277456E-2
1.043789537E1,-1.769442484E-2
1.045872950E1,-1.671710424E-2
1.047956362E1,-1.562381350E-2
1.050039774E1,-1.436792314E-2
1.052123186E1,-1.300589554E-2
1.054206599E1,-1.156656444E-2
1.056290011E1,-1.001339965E-2
1.058373423E1,-8.344262838E-3
1.060456835E1,-6.623716094E-3
1.062540248E1,-4.879494198E-3
1.064623660E1,-3.054019995E-3
1.066707072E1,-1.221060054E-3
1.068790484E1,6.037720013E-4
1.070873897E1,2.488229889E-3
1.072957309E1,4.345566966E-3
1.075040721E1,6.112857722E-3
1.077124133E1,7.777239662E-3
1.079207546E1,9.347951040E-3
1.081290958E1,1.084214263E-2
1.083374370E1,1.219326630E-2
1.085457782E1,1.341403462E-2
1.087541195E1,1.459111832E-2
1.089624607E1,1.564712822E-2
1.091708019E1,1.652893238E-2
1.093791431E1,1.734090410E-2
1.095874844E1,1.817188039E-2
1.097958256E1,1.903942972E-2
1.100041668E1,1.983835548E-2
1.102125080E1,2.052368969E-2
1.104208493E1,2.114619315E-2
1.106291905E1,2.165628783E-2
1.108375317E1,2.204201184E-2
1.110458729E1,2.235426754E-2
1.112542142E1,2.258542925E-2
1.114625554E1,2.263261937E-2
1.116708966E1,2.246678621E-2
1.118792378E1,2.220614254E-2
1.120875791E1,2.183429711E-2
1.122959203E1,2.130029351E-2
1.125042615E1,2.067982592E-2
1.127126028E1,1.992613822E-2
1.129209440E1,1.894843951E-2
1.131292852E1,1.787557080E-2
1.133376264E1,1.678403467E-2
1.135459677E1,1.554917265E-2
1.137543089E1,1.418091264E-2
1.139626501E1,1.271236874E-2
1.141709913E1,1.109090727E-2
1.143793326E1,9.391000494E-3
1.145876738E1,7.636911236E-3
1.147960150E1,5.821559578E-3
1.150043562E1,3.980756737E-3
1.152126975E1,2.062201267E-3
1.154210387E1,7.798016304E-5
1.156293799E1,-1.902982360E-3
1.158377211E1,-3.867645049E-3
1.160460624E1,-5.791503005E-3
1.162544036E1,-7.655445952E-3
1.164627448E1,-9.417185560E-3
1.166710860E1,-1.103392802E-2
1.168794273E1,-1.247265469E-2
1.170877685E1,-1.370964199E-2
1.172961097E1,-1.478718966E-2
1.175044509E1,-1.567840762E-2
1.177127922E1,-1.635794714E-2
1.179211334E1,-1.686166413E-2
1.181294746E1,-1.714286953E-2
1.183378158E1,-1.724886522E-2
1.185461571E1,-1.728177443E-2
1.187544983E1,-1.715776697E-2
1.189628395E1,-1.683442295E-2
1.191711807E1,-1.630018465E-2
1.193795220E1,-1.552659273E-2
1.195878632E1,-1.454142481E-2
1.197962044E1,-1.329575479E-2
1.200045456E1,-1.184248272E-2
1.202128869E1,-1.023184136E-2
1.204212281E1,-8.459761739E-3
1.206295693E1,-6.590803619E-3
1.208379105E1,-4.644281231E-3
1.210462518E1,-2.631736221E-3
1.212545930E1,-6.578469765E-4
1.214629342E1,1.232766896E-3
1.216712754E1,3.042667639E-3
1.218796167E1,4.806851968E-3
1.220879579E1,6.536256522E-3
1.222962991E1,8.112426847E-3
1.225046403E1,9.523659945E-3
1.227129816E1,1.080988161E-2
1.229213228E1,1.199799590E-2
1.231296640E1,1.305721886E-2
1.233380052E1,1.392268110E-2
1.235463465E1,1.466530375E-2
1.237546877E1,1.526826806E-2
1.239630289E1,1.574115083E-2
1.241713701E1,1.606903039E-2
1.243797114E1,1.617605612E-2
1.245880526E1,1.618954726E-2
1.247963938E1,1.614247262E-2
1.250047350E1,1.597211696E-2
1.252130763E1,1.565959677E-2
1.254214175E1,1.520857029E-2
1.256297587E1,1.463640202E-2
1.258380999E1,1.393958740E-2
1.260464412E1,1.313857920E-2
1.262547824E1,1.219587959E-2
1.264631236E1,1.107598096E-2
1.266714648E1,9.792275727E-3
1.268798061E1,8.330068551E-3
1.270881473E1,6.827841513E-3
1.272964885E1,5.339124240E-3
1.275048297E1,3.780629952E-3
1.277131710E1,2.235918539E-3
1.279215122E1,7.296566619E-4
1.281298534E1,-7.649339968E-4
1.283381946E1,-2.281058114E-3
1.285465359E1,-3.818113590E-3
1.287548771E1,-5.245430861E-3
1.289632183E1,-6.612572819E-3
1.291715595E1,-7.954324596E-3
1.293799008E1,-9.185284376E-3
1.295882420E1,-1.034012251E-2
1.297965832E1,-1.145230979E-2
1.300049244E1,-1.248641126E-2
1.302132657E1,-1.340839546E-2
1.304216069E1,-1.431970298E-2
1.306299481E1,-1.523442939E-2
1.308382893E1,-1.605197601E-2
1.310466306E1,-1.686801016E-2
1.312549718E1,-1.772198081E-2
1.314633130E1,-1.853084192E-2
1.316716542E1,-1.927426085E-2
1.318799955E1,-1.996296644E-2
1.320883367E1,-2.061396465E-2
1.322966779E1,-2.114165947E-2
1.325050191E1,-2.151216567E-2
1.327133604E1,-2.178741246E-2
1.329217016E1,-2.196777426E-2
1.331300428E1,-2.200968191E-2
1.333383840E1,-2.192867920E-2
1.335467253E1,-2.178525552E-2
1.337550665E1,-2.153478935E-2
1.339634077E1,-2.115102299E-2
1.341717489E1,-2.067056112E-2
1.343800902E1,-2.006734908E-2
1.345884314E1,-1.929370128E-2
1.347967726E1,-1.838625968E-2
1.350051138E1,-1.737780310E-2
1.352134551E1,-1.619673334E-2
1.354217963E1,-1.487320289E-2
1.356301375E1,-1.350464486E-2
1.358384787E1,-1.208279282E-2
1.360468200E1,-1.055978611E-2
1.362551612E1,-8.884474635E-3
1.364635024E1,-7.148411125E-3
1.366718436E1,-5.413402803E-3
1.368801849E1,-3.621226875E-3
1.370885261E1,-1.774642151E-3
1.372968673E1,1.051540312E-4
1.375052085E1,1.953890314E-3
1.377135498E1,3.772594268E-3
1.379218910E1,5.576000083E-3
1.381302322E1,7.272518706E-3
1.383385734E1,8.823330514E-3
1.385469147E1,1.025133766E-2
1.387552559E1,1.156802755E-2
1.389635971E1,1.278492622E-2
1.391719383E1,1.386955753E-2
1.393802796E1,1.487177983E-2
1.395886208E1,1.583046280E-2
1.397969620E1,1.674564928E-2
1.400053032E1,1.762349717E-2
1.402136445E1,1.840589568E-2
1.404219857E1,1.912039891E-2
1.406303269E1,1.983144507E-2
1.408386681E1,2.050147951E-2
1.410470094E1,2.104815096E-2
1.412553506E1,2.145168558E-2
1.414636918E1,2.174157836E-2
1.416720330E1,2.187996171E-2
1.418803743E1,2.186308987E-2
1.420887155E1,2.174945176E-2
1.422970567E1,2.147389576E-2
1.425053979E1,2.104472369E-2
1.427137392E1,2.051311359E-2
1.429220804E1,1.985575072E-2
1.431304216E1,1.906224713E-2
1.433387628E1,1.812712848E-2
1.435471041E1,1.708525047E-2
1.437554453E1,1.594248042E-2
1.439637865E1,1.467525959E-2
1.441721277E1,1.332166977E-2
1.443804690E1,1.185457036E-2
1.445888102E1,1.023638994E-2
1.447971514E1,8.556573652E-3
1.450054926E1,6.834081374E-3
1.452138339E1,5.015889183E-3
1.454221751E1,3.132666228E-3
1.456305163E1,1.218699152E-3
1.458388575E1,-7.314172108E-4
1.460471988E1,-2.704174723E-3
1.462555400E1,-4.668924492E-3
1.464638812E1,-6.577936932E-3
1.466722224E1,-8.433555253E-3
1.468805637E1,-1.015044376E-2
1.470889049E1,-1.168282144E-2
1.472972461E1,-1.309017837E-2
1.475055873E1,-1.430573408E-2
1.477139286E1,-1.534849405E-2
1.479222698E1,-1.620801911E-2
1.481306110E1,-1.682180166E-2
1.483389522E1,-1.727572270E-2
1.485472935E1,-1.756874099E-2
1.487556347E1,-1.772021130E-2
1.489639759E1,-1.774677075E-2
1.491723171E1,-1.752983592E-2
1.493806584E1,-1.708962768E-2
1.495889996E1,-1.646511815E-2
1.497973408E1,-1.563346758E-2
1.500056820E1,-1.459603757E-2
1.502140233E1,-1.331776008E-2
1.504223645E1,-1.184816752E-2
1.506307057E1,-1.020710170E-2
1.508390469E1,-8.413550444E-3
1.510473882E1,-6.512167864E-3
1.512557294E1,-4.537023604E-3
1.514640706E1,-2.540815622E-3
1.516724118E1,-5.639684387E-4
1.518807531E1,1.361191738E-3
1.520890943E1,3.224745393E-3
1.522974355E1,5.005291663E-3
1.525057767E1,6.695927121E-3
1.527141180E1,8.272949606E-3
1.529224592E1,9.730709717E-3
1.531308004E1,1.106744725E-2
1.533391416E1,1.221121289E-2
1.535474829E1,1.317949593E-2
1.537558241E1,1.403894089E-2
1.539641653E1,1.475842390E-2
1.541725065E1,1.531273220E-2
1.543808478E1,1.574860886E-2
1.545891890E1,1.607051864E-2
1.547975302E1,1.624133810E-2
1.550058714E1,1.631404832E-2
1.552142127E1,1.626632549E-2
1.554225539E1,1.605297625E-2
1.556308951E1,1.574206352E-2
1.558392363E1,1.531475130E-2
1.560475776E1,1.475918852E-2
1.562559188E1,1.406834461E-2
1.564642600E1,1.318397094E-2
1.566726012E1,1.218186878E-2
1.568809425E1,1.106125861E-2
1.570892837E1,9.732123464E-3
1.572976249E1,8.319711313E-3
1.575059661E1,6.899195258E-3
1.577143074E1,5.428452510E-3
1.579226486E1,3.861511592E-3
1.581309898E1,2.286807634E-3
1.583393310E1,8.079440449E-4
1.585476723E1,-6.702906103E-4
1.587560135E1,-2.170180203E-3
1.589643547E1,-3.635638859E-3
1.591726959E1,-5.050568841E-3
1.593810372E1,-6.380855106E-3
1.595893784E1,-7.634563372E-3
1.597977196E1,-8.825859986E-3
1.600060608E1,-9.976353496E-3
1.602144021E1,-1.107498631E-2
1.604227433E1,-1.207135804E-2
1.606310845E1,-1.298189908E-2
1.608394257E1,-1.386863738E-2
