"Time (ms)","Recording (a.u.)"
0.000000000E0,3.229087451E-4
2.083412250E-2,1.389714889E-3
4.166824501E-2,2.527391072E-3
6.250236751E-2,3.648949089E-3
8.333649002E-2,4.760821350E-3
1.041706125E-1,5.923204124E-3
1.250047350E-1,7.062514313E-3
1.458388575E-1,8.195808157E-3
1.666729800E-1,9.397504851E-3
1.875071025E-1,1.061049849E-2
2.083412250E-1,1.182278898E-2
2.291753476E-1,1.305478439E-2
2.500094701E-1,1.428093202E-2
2.708435926E-1,1.548026782E-2
2.916777151E-1,1.665665768E-2
3.125118376E-1,1.781221852E-2
3.333459601E-1,1.896258257E-2
3.541800826E-1,2.014282346E-2
3.750142051E-1,2.131520770E-2
3.958483276E-1,2.239639126E-2
4.166824501E-1,2.340168878E-2
4.375165726E-1,2.448971570E-2
4.583506951E-1,2.564522810E-2
4.791848176E-1,2.671189606E-2
5.000189401E-1,2.769763023E-2
5.208530626E-1,2.865574136E-2
5.416871851E-1,2.963687107E-2
5.625213076E-1,3.060895577E-2
5.833554301E-1,3.155250475E-2
6.041895526E-1,3.254474327E-2
6.250236751E-1,3.350082040E-2
6.458577976E-1,3.435446694E-2
6.666919201E-1,3.521334380E-2
6.875260427E-1,3.614438698E-2
7.083601652E-1,3.712590039E-2
7.291942877E-1,3.802660480E-2
7.500284102E-1,3.887214139E-2
7.708625327E-1,3.973496705E-2
7.916966552E-1,4.057284445E-2
8.125307777E-1,4.145048559E-2
8.333649002E-1,4.235316813E-2
8.541990227E-1,4.323813692E-2
8.750331452E-1,4.407164082E-2
8.958672677E-1,4.480782896E-2
9.167013902E-1,4.556281865E-2
9.375355127E-1,4.639744014E-2
9.583696352E-1,4.722207040E-2
9.792037577E-1,4.797265306E-2
1.000037880E0,4.865790904E-2
1.020872003E0,4.935780168E-2
1.041706125E0,5.005881190E-2
1.062540248E0,5.071523041E-2
1.083374370E0,5.135931820E-2
1.104208493E0,5.195431784E-2
1.125042615E0,5.248445645E-2
1.145876738E0,5.303586647E-2
1.166710860E0,5.358524248E-2
1.187544983E0,5.404514074E-2
1.208379105E0,5.445892364E-2
1.229213228E0,5.490127951E-2
1.250047350E0,5.530428886E-2
1.270881473E0,5.563716590E-2
1.291715595E0,5.596243218E-2
1.312549718E0,5.629089475E-2
1.333383840E0,5.660619587E-2
1.354217963E0,5.690205097E-2
1.375052085E0,5.716573074E-2
1.395886208E0,5.739004910E-2
1.416720330E0,5.761077255E-2
1.437554453E0,5.782674626E-2
1.458388575E0,5.803446099E-2
1.479222698E0,5.829536915E-2
1.500056820E0,5.854507163E-2
1.520890943E0,5.870040506E-2
1.541725065E0,5.883245915E-2
1.562559188E0,5.898295343E-2
1.583393310E0,5.913249031E-2
1.604227433E0,5.928984657E-2
1.625061555E0,5.942976475E-2
1.645895678E0,5.956036225E-2
1.666729800E0,5.968582630E-2
1.687563923E0,5.983372033E-2
1.708398045E0,6.000411510E-2
1.729232168E0,6.011446565E-2
1.750066290E0,6.021158397E-2
1.770900413E0,6.036467105E-2
1.791734535E0,6.048385426E-2
1.812568658E0,6.052605808E-2
1.833402780E0,6.058595330E-2
1.854236903E0,6.066405028E-2
1.875071025E0,6.070950627E-2
1.895905148E0,6.076451764E-2
1.916739270E0,6.085193902E-2
1.937573393E0,6.085849926E-2
1.958407515E0,6.079641730E-2
1.979241638E0,6.079418957E-2
2.000075760E0,6.081028283E-2
2.020909883E0,6.073586643E-2
2.041744005E0,6.060554087E-2
2.062578128E0,6.048708409E-2
2.083412250E0,6.033691391E-2
2.104246373E0,6.017445028E-2
2.125080495E0,6.001700461E-2
2.145914618E0,5.979956686E-2
2.166748740E0,5.956756324E-2
2.187582863E0,5.935824290E-2
2.208416985E0,5.913687125E-2
2.229251108E0,5.887410045E-2
2.250085231E0,5.855112150E-2
2.270919353E0,5.820317566E-2
2.291753476E0,5.787342787E-2
2.312587598E0,5.753703415E-2
2.333421721E0,5.717737228E-2
2.354255843E0,5.683459342E-2
2.375089966E0,5.648174882E-2
2.395924088E0,5.607643723E-2
2.416758211E0,5.568532646E-2
2.437592333E0,5.529060587E-2
2.458426456E0,5.487562716E-2
2.479260578E0,5.448641255E-2
2.500094701E0,5.407381803E-2
2.520928823E0,5.362464488E-2
2.541762946E0,5.317609012E-2
2.562597068E0,5.272801965E-2
2.583431191E0,5.226585269E-2
2.604265313E0,5.181233957E-2
2.625099436E0,5.137037486E-2
2.645933558E0,5.090060085E-2
2.666767681E0,5.042241514E-2
2.687601803E0,4.992929101E-2
2.708435926E0,4.944679886E-2
2.729270048E0,4.897463322E-2
2.750104171E0,4.847086966E-2
2.770938293E0,4.796933383E-2
2.791772416E0,4.742240906E-2
2.812606538E0,4.683849216E-2
2.833440661E0,4.629264399E-2
2.854274783E0,4.574182630E-2
2.875108906E0,4.512999952E-2
2.895943028E0,4.445885122E-2
2.916777151E0,4.384491593E-2
2.937611273E0,4.326684773E-2
2.958445396E0,4.257195815E-2
2.979279518E0,4.185676202E-2
3.000113641E0,4.120626301E-2
3.020947763E0,4.054454714E-2
3.041781886E0,3.984665126E-2
3.062616008E0,3.911756724E-2
3.083450131E0,3.840272129E-2
3.104284253E0,3.773704916E-2
3.125118376E0,3.705963120E-2
3.145952498E0,3.634678572E-2
3.166786621E0,3.566205502E-2
3.187620743E0,3.502041847E-2
3.208454866E0,3.435024247E-2
3.229288988E0,3.365458176E-2
3.250123111E0,3.301976621E-2
3.270957233E0,3.242486343E-2
3.291791356E0,3.180259466E-2
3.312625478E0,3.118202090E-2
3.333459601E0,3.057571501E-2
3.354293723E0,2.999600209E-2
3.375127846E0,2.940867841E-2
3.395961968E0,2.880531549E-2
3.416796091E0,2.829644457E-2
3.437630213E0,2.782330662E-2
3.458464336E0,2.730049938E-2
3.479298458E0,2.680037916E-2
3.500132581E0,2.627677098E-2
3.520966703E0,2.576443367E-2
3.541800826E0,2.533734962E-2
3.562634948E0,2.490479872E-2
3.583469071E0,2.447967604E-2
3.604303193E0,2.407255769E-2
3.625137316E0,2.366903052E-2
3.645971438E0,2.329477482E-2
3.666805561E0,2.291817218E-2
3.687639683E0,2.250303887E-2
3.708473806E0,2.209457010E-2
3.729307928E0,2.175806090E-2
3.750142051E0,2.144858986E-2
3.770976173E0,2.109691128E-2
3.791810296E0,2.070755325E-2
3.812644418E0,2.033654600E-2
3.833478541E0,1.997856982E-2
3.854312663E0,1.963760890E-2
3.875146786E0,1.930939592E-2
3.895980908E0,1.894594356E-2
3.916815031E0,1.857855543E-2
3.937649153E0,1.824630238E-2
3.958483276E0,1.787122153E-2
3.979317398E0,1.744759642E-2
4.000151521E0,1.702854037E-2
4.020985643E0,1.667238213E-2
4.041819766E0,1.631401479E-2
4.062653888E0,1.584395580E-2
4.083488011E0,1.538841613E-2
4.104322133E0,1.501975022E-2
4.125156256E0,1.463159546E-2
4.145990378E0,1.418653317E-2
4.166824501E0,1.373020560E-2
4.187658623E0,1.333027706E-2
4.208492746E0,1.293255761E-2
4.229326868E0,1.244102232E-2
4.250160991E0,1.194321364E-2
4.270995113E0,1.147470903E-2
4.291829236E0,1.101985760E-2
4.312663358E0,1.056204271E-2
4.333497481E0,1.005428005E-2
4.354331603E0,9.562915191E-3
4.375165726E0,9.082689881E-3
4.395999848E0,8.552299812E-3
4.416833971E0,8.023159578E-3
4.437668093E0,7.506692316E-3
4.458502216E0,6.987628993E-3
4.479336338E0,6.444359664E-3
4.500170461E0,5.837000906E-3
4.521004584E0,5.211444572E-3
4.541838706E0,4.558159970E-3
4.562672829E0,3.869740758E-3
4.583506951E0,3.217600752E-3
4.604341074E0,2.539281966E-3
4.625175196E0,1.785659348E-3
4.646009319E0,1.030753134E-3
4.666843441E0,2.381358499E-4
4.687677564E0,-6.016085390E-4
4.708511686E0,-1.429342898E-3
4.729345809E0,-2.251362894E-3
4.750179931E0,-3.104156349E-3
4.771014054E0,-4.007605836E-3
4.791848176E0,-4.870400764E-3
4.812682299E0,-5.723339971E-3
4.833516421E0,-6.682704668E-3
4.854350544E0,-7.689995226E-3
4.875184666E0,-8.680851199E-3
4.896018789E0,-9.615133516E-3
4.916852911E0,-1.052925736E-2
4.937687034E0,-1.152371429E-2
4.958521156E0,-1.253898256E-2
4.979355279E0,-1.352615282E-2
5.000189401E0,-1.452944800E-2
5.021023524E0,-1.554050576E-2
5.041857646E0,-1.652943902E-2
5.062691769E0,-1.746757887E-2
5.083525891E0,-1.838708855E-2
5.104360014E0,-1.937235892E-2
5.125194136E0,-2.038550004E-2
5.146028259E0,-2.132329531E-2
5.166862381E0,-2.225456759E-2
5.187696504E0,-2.322484925E-2
5.208530626E0,-2.418825775E-2
5.229364749E0,-2.516518533E-2
5.250198871E0,-2.611408010E-2
5.271032994E0,-2.704187110E-2
5.291867116E0,-2.799787931E-2
5.312701239E0,-2.893379331E-2
5.333535361E0,-2.987074293E-2
5.354369484E0,-3.083063662E-2
5.375203606E0,-3.177160770E-2
5.396037729E0,-3.269694000E-2
5.416871851E0,-3.362062946E-2
5.437705974E0,-3.455218673E-2
5.458540096E0,-3.548157588E-2
5.479374219E0,-3.640448675E-2
5.500208341E0,-3.732942790E-2
5.521042464E0,-3.823876008E-2
5.541876586E0,-3.914161399E-2
5.562710709E0,-4.008558765E-2
5.583544831E0,-4.104425013E-2
5.604378954E0,-4.197849333E-2
5.625213076E0,-4.288865626E-2
5.646047199E0,-4.376541823E-2
5.666881321E0,-4.467121884E-2
5.687715444E0,-4.564581811E-2
5.708549566E0,-4.661354423E-2
5.729383689E0,-4.753033817E-2
5.750217811E0,-4.841523245E-2
5.771051934E0,-4.932011664E-2
5.791886056E0,-5.027521774E-2
5.812720179E0,-5.120255426E-2
5.833554301E0,-5.209422857E-2
5.854388424E0,-5.298181623E-2
5.875222546E0,-5.381916836E-2
5.896056669E0,-5.464629084E-2
5.916890791E0,-5.549224466E-2
5.937724914E0,-5.635921657E-2
5.958559036E0,-5.720967799E-2
5.979393159E0,-5.800442398E-2
6.000227281E0,-5.879815295E-2
6.021061404E0,-5.958138406E-2
6.041895526E0,-6.032982096E-2
6.062729649E0,-6.104221195E-2
6.083563771E0,-6.176745519E-2
6.104397894E0,-6.250635535E-2
6.125232016E0,-6.313376874E-2
6.146066139E0,-6.373284757E-2
6.166900261E0,-6.437842548E-2
6.187734384E0,-6.490391493E-2
6.208568506E0,-6.535219401E-2
6.229402629E0,-6.587500870E-2
6.250236751E0,-6.636768579E-2
6.271070874E0,-6.674669683E-2
6.291904996E0,-6.709561497E-2
6.312739119E0,-6.743502617E-2
6.333573241E0,-6.768780202E-2
6.354407364E0,-6.789058447E-2
6.375241486E0,-6.807464361E-2
6.396075609E0,-6.822954118E-2
6.416909731E0,-6.830559671E-2
6.437743854E0,-6.831096858E-2
6.458577976E0,-6.830605865E-2
6.479412099E0,-6.825867295E-2
6.500246221E0,-6.815284491E-2
6.521080344E0,-6.800380349E-2
6.541914466E0,-6.780826300E-2
6.562748589E0,-6.755538285E-2
6.583582711E0,-6.724254787E-2
6.604416834E0,-6.690016389E-2
6.625250956E0,-6.652519107E-2
6.646085079E0,-6.611648947E-2
6.666919201E0,-6.565783173E-2
6.687753324E0,-6.517566741E-2
6.708587446E0,-6.470878422E-2
6.729421569E0,-6.416391581E-2
6.750255692E0,-6.354405731E-2
6.771089814E0,-6.295918673E-2
6.791923937E0,-6.236686930E-2
6.812758059E0,-6.173656881E-2
6.833592182E0,-6.114244461E-2
6.854426304E0,-6.053202227E-2
6.875260427E0,-5.988084525E-2
6.896094549E0,-5.923097208E-2
6.916928672E0,-5.859484524E-2
6.937762794E0,-5.797324330E-2
6.958596917E0,-5.732867122E-2
6.979431039E0,-5.665765703E-2
7.000265162E0,-5.597899854E-2
7.021099284E0,-5.538095906E-2
7.041933407E0,-5.486104637E-2
7.062767529E0,-5.429872125E-2
7.083601652E0,-5.372785032E-2
7.104435774E0,-5.321336538E-2
7.125269897E0,-5.271739885E-2
7.146104019E0,-5.222913623E-2
7.166938142E0,-5.173636600E-2
7.187772264E0,-5.126078799E-2
7.208606387E0,-5.080521107E-2
7.229440509E0,-5.035367981E-2
7.250274632E0,-4.995116219E-2
7.271108754E0,-4.959100857E-2
7.291942877E0,-4.918719828E-2
7.312776999E0,-4.875704646E-2
7.333611122E0,-4.838452488E-2
7.354445244E0,-4.803079367E-2
7.375279367E0,-4.764037207E-2
7.396113489E0,-4.725321010E-2
7.416947612E0,-4.692083597E-2
7.437781734E0,-4.659615085E-2
7.458615857E0,-4.624817148E-2
7.479449979E0,-4.589863122E-2
7.500284102E0,-4.556577653E-2
7.521118224E0,-4.523599893E-2
7.541952347E0,-4.487524554E-2
7.562786469E0,-4.453070462E-2
7.583620592E0,-4.419542849E-2
7.604454714E0,-4.382207245E-2
7.625288837E0,-4.344730824E-2
7.646122959E0,-4.308407009E-2
7.666957082E0,-4.275875539E-2
7.687791204E0,-4.242140427E-2
7.708625327E0,-4.201231897E-2
7.729459449E0,-4.161748663E-2
7.750293572E0,-4.126201198E-2
7.771127694E0,-4.088220745E-2
7.791961817E0,-4.047302902E-2
7.812795939E0,-4.009766877E-2
7.833630062E0,-3.972061723E-2
7.854464184E0,-3.929385170E-2
7.875298307E0,-3.888162225E-2
7.896132429E0,-3.848367929E-2
7.916966552E0,-3.806001320E-2
7.937800674E0,-3.753907979E-2
7.958634797E0,-3.700055182E-2
7.979468919E0,-3.657848015E-2
8.000303042E0,-3.614151105E-2
8.021137164E0,-3.556853160E-2
8.041971287E0,-3.495150805E-2
8.062805409E0,-3.440526128E-2
8.083639532E0,-3.388801590E-2
8.104473654E0,-3.331555054E-2
8.125307777E0,-3.271056712E-2
8.146141899E0,-3.211083263E-2
8.166976022E0,-3.148426488E-2
8.187810144E0,-3.086789697E-2
8.208644267E0,-3.030742332E-2
8.229478389E0,-2.973803878E-2
8.250312512E0,-2.911100164E-2
8.271146634E0,-2.844151855E-2
8.291980757E0,-2.775683440E-2
8.312814879E0,-2.710801363E-2
8.333649002E0,-2.649221569E-2
8.354483124E0,-2.588210814E-2
8.375317247E0,-2.528728545E-2
8.396151369E0,-2.467779443E-2
8.416985492E0,-2.403225563E-2
8.437819614E0,-2.339706570E-2
8.458653737E0,-2.279684320E-2
8.479487859E0,-2.218448557E-2
8.500321982E0,-2.154823206E-2
8.521156104E0,-2.091448009E-2
8.541990227E0,-2.030836046E-2
8.562824349E0,-1.972586848E-2
8.583658472E0,-1.913460158E-2
8.604492594E0,-1.852743141E-2
8.625326717E0,-1.793669537E-2
8.646160839E0,-1.735512540E-2
8.666994962E0,-1.672468521E-2
8.687829084E0,-1.606773958E-2
8.708663207E0,-1.545195840E-2
8.729497329E0,-1.484740153E-2
8.750331452E0,-1.420134772E-2
8.771165574E0,-1.348959655E-2
8.791999697E0,-1.278073154E-2
8.812833819E0,-1.213413104E-2
8.833667942E0,-1.144415606E-2
8.854502064E0,-1.071259938E-2
8.875336187E0,-1.000823267E-2
8.896170309E0,-9.314892814E-3
8.917004432E0,-8.530531079E-3
8.937838554E0,-7.669740357E-3
8.958672677E0,-6.852174178E-3
8.979506799E0,-6.034709513E-3
9.000340922E0,-5.175168626E-3
9.021175045E0,-4.282712005E-3
9.042009167E0,-3.374860622E-3
9.062843290E0,-2.431574510E-3
9.083677412E0,-1.419226173E-3
9.104511535E0,-3.934825072E-4
9.125345657E0,6.267069257E-4
9.146179780E0,1.681771828E-3
9.167013902E0,2.767754486E-3
9.187848025E0,3.871969413E-3
9.208682147E0,4.986694083E-3
9.229516270E0,6.136989687E-3
9.250350392E0,7.288404275E-3
9.271184515E0,8.434526622E-3
9.292018637E0,9.643730707E-3
9.312852760E0,1.086411625E-2
9.333686882E0,1.203315798E-2
9.354521005E0,1.319972333E-2
9.375355127E0,1.441158447E-2
9.396189250E0,1.561134681E-2
9.417023372E0,1.676031947E-2
9.437857495E0,1.794944517E-2
9.458691617E0,1.914581656E-2
9.479525740E0,2.022005990E-2
9.500359862E0,2.129696496E-2
9.521193985E0,2.240045741E-2
9.542028107E0,2.344671264E-2
9.562862230E0,2.450772375E-2
9.583696352E0,2.556296065E-2
9.604530475E0,2.658854611E-2
9.625364597E0,2.758659795E-2
9.646198720E0,2.855827287E-2
9.667032842E0,2.953135222E-2
9.687866965E0,3.047272563E-2
9.708701087E0,3.140389174E-2
9.729535210E0,3.236128762E-2
9.750369332E0,3.331384808E-2
9.771203455E0,3.424683958E-2
9.792037577E0,3.512040153E-2
9.812871700E0,3.600972146E-2
9.833705822E0,3.694687784E-2
9.854539945E0,3.786145896E-2
9.875374067E0,3.873567656E-2
9.896208190E0,3.955647722E-2
9.917042312E0,4.042082280E-2
9.937876435E0,4.133445770E-2
9.958710557E0,4.215187579E-2
9.979544680E0,4.295045510E-2
1.000037880E1,4.382360727E-2
1.002121292E1,4.468642548E-2
1.004204705E1,4.549526051E-2
1.006288117E1,4.627224058E-2
1.008371529E1,4.706379026E-2
1.010454941E1,4.783161730E-2
1.012538354E1,4.858058691E-2
1.014621766E1,4.932751879E-2
1.016705178E1,5.000992864E-2
1.018788590E1,5.064479262E-2
1.020872003E1,5.124505609E-2
