"Time (ms)","Recording (a.u.)"
0.000000000E0,1.273752059E-5
2.083412250E-2,2.152882516E-4
4.166824501E-2,4.366764915E-4
6.250236751E-2,5.714467843E-4
8.333649002E-2,6.723044207E-4
1.041706125E-1,8.501013508E-4
1.250047350E-1,1.029107370E-3
1.458388575E-1,1.160540967E-3
1.666729800E-1,1.302146120E-3
1.875071025E-1,1.438504551E-3
2.083412250E-1,1.570825931E-3
2.291753476E-1,1.697439002E-3
2.500094701E-1,1.821447397E-3
2.708435926E-1,1.996896463E-3
2.916777151E-1,2.182965633E-3
3.125118376E-1,2.301162807E-3
3.333459601E-1,2.427807311E-3
3.541800826E-1,2.605248010E-3
3.750142051E-1,2.749035135E-3
3.958483276E-1,2.883881098E-3
4.166824501E-1,3.031986766E-3
4.375165726E-1,3.181543434E-3
4.583506951E-1,3.356602974E-3
4.791848176E-1,3.523868509E-3
5.000189401E-1,3.683485789E-3
5.208530626E-1,3.775985446E-3
5.416871851E-1,3.840057179E-3
5.625213076E-1,4.017714411E-3
5.833554301E-1,4.156949930E-3
6.041895526E-1,4.212175962E-3
6.250236751E-1,4.346307833E-3
6.458577976E-1,4.512451589E-3
6.666919201E-1,4.647222813E-3
6.875260427E-1,4.799216520E-3
7.083601652E-1,4.938313738E-3
7.291942877E-1,4.990801215E-3
7.500284102E-1,5.005870014E-3
7.708625327E-1,5.115882028E-3
7.916966552E-1,5.258019082E-3
8.125307777E-1,5.392345600E-3
8.333649002E-1,5.517476238E-3
8.541990227E-1,5.579053890E-3
8.750331452E-1,5.678178743E-3
8.958672677E-1,5.779108033E-3
9.167013902E-1,5.854843650E-3
9.375355127E-1,6.002836395E-3
9.583696352E-1,6.147754379E-3
9.792037577E-1,6.242007483E-3
1.000037880E0,6.307613105E-3
1.020872003E0,6.361891516E-3
1.041706125E0,6.450709421E-3
1.062540248E0,6.529141217E-3
1.083374370E0,6.607554387E-3
1.104208493E0,6.717170589E-3
1.125042615E0,6.797167473E-3
1.145876738E0,6.846182048E-3
1.166710860E0,6.877619773E-3
1.187544983E0,6.911178119E-3
1.208379105E0,6.986485794E-3
1.229213228E0,7.058109622E-3
1.250047350E0,7.093554363E-3
1.270881473E0,7.136187516E-3
1.291715595E0,7.219280116E-3
1.312549718E0,7.323865313E-3
1.333383840E0,7.425469346E-3
1.354217963E0,7.481967099E-3
1.375052085E0,7.474780083E-3
1.395886208E0,7.527592126E-3
1.416720330E0,7.619840093E-3
1.437554453E0,7.600657642E-3
1.458388575E0,7.594375405E-3
1.479222698E0,7.704539225E-3
1.500056820E0,7.800502703E-3
1.520890943E0,7.847248577E-3
1.541725065E0,7.878602482E-3
1.562559188E0,7.863651961E-3
1.583393310E0,7.896037772E-3
1.604227433E0,7.953511551E-3
1.625061555E0,7.972707041E-3
1.645895678E0,8.081122302E-3
1.666729800E0,8.186357096E-3
1.687563923E0,8.120354265E-3
1.708398045E0,8.072087541E-3
1.729232168E0,8.192626759E-3
1.750066290E0,8.253971115E-3
1.770900413E0,8.163109422E-3
1.791734535E0,8.197236806E-3
1.812568658E0,8.324678056E-3
1.833402780E0,8.334792219E-3
