# fichier earth.txt
##############################################################################
# Position prevue de la planète Terre par rapport au Soleil.
# Les donnees sont toutes prises a un jour d'intervalle.
# La premiere ligne correspond au 1er janvier 2021.
# Les distances sont exprimees en unite astronomique (au) : 1 au = 1.496e+11 m
##############################################################################
X (abscisse)	Y (ordonnee)
-0.18544446393176203	0.9658554343602773
-0.20259799233996115	0.9624529181211872
-0.21968851183091573	0.9587510738676062
-0.23671071830726087	0.9547511014705635
-0.25365933176487626	0.9504542976423895
-0.2705290981595478	0.9458620554067662
-0.2873147912599595	0.940975863529492
-0.3040112144869898	0.9357973059100944
-0.32061320273721733	0.9303280609350325
-0.33711562419093133	0.9245699007925849
-0.35351338210261607	0.9185246907502244
-0.36980141657377175	0.912194388394757
-0.38597470630681063	0.9055810428358669
-0.4020282703396622	0.898686793873424
-0.41795716975942665	0.8915138711294452
-0.4337565093950643	0.8840645931449886
-0.4494214394880932	0.8763413664426575
-0.4649471573400466	0.8683466845555772
-0.48032890893669816	0.8600831270231432
-0.4955619905478571	0.8515533583544136
-0.5106417503019994	0.8427601269598614
-0.5255635897352273	0.833706264052101
-0.5403229653138726	0.8243946825163101
-0.5549153899300452	0.8148283757511157
-0.5693364343693923	0.8050104164807829
-0.5835817287508859	0.7949439555391892
-0.5976469639374065	0.7846322206268244
-0.61152789291725	0.7740785150411382
-0.6252203321557277	0.7632862163812532
-0.6387201629161698	0.7522587752280112
-0.6520233325503192	0.740999713799829
-0.6651258557573025	0.7295126245854809
-0.6780238158109213	0.7178011689545294
-0.6907133657549174	0.7058690757461938
-0.7031907295656048	0.6937201398377433
-0.7154522032818869	0.6813582206929402
-0.7274941561021369	0.6687872408915744
-0.7393130314474298	0.6560111846412037
-0.7509053479915017	0.6430340962713169
-0.7622677006565443	0.6298600787114444
-0.7733967615749751	0.6164932919537478
-0.7842892810168811	0.6029379515010774
-0.7949420882831202	0.5891983268011878
-0.8053520925637548	0.5752787396682111
-0.8155162837617013	0.5611835626922894
-0.8254317332819423	0.5469172176376239
-0.8350955947854448	0.5324841738308914
-0.8445051049085606	0.517888946539763
-0.8536575839474605	0.5031360953429569
-0.8625504365075582	0.4882302224927688
