# fichier tchouri.txt
##############################################################################
# Position prevue de la comète Tchouri par rapport au Soleil.
# Les donnees sont toutes prises a un jour d'intervalle.
# La premiere ligne correspond au 1er janvier 2021.
# Les distances sont exprimees en unite astronomique (au) : 1 au = 1.496e+11 m
##############################################################################
X (abscisse)	Y (ordonnee)
1.170392768772621	-3.469955806317638
1.1749207295117767	-3.462547303181111
1.1794416951936566	-3.455118185371269
1.1839556069362318	-3.4476684034764604
1.1884624054029362	-3.4401979078784457
1.192962030798108	-3.432706648751653
1.1974544228624049	-3.4251945760623776
1.2019395208681505	-3.417661639568017
1.206417263614626	-3.410107788816309
1.2108875894233047	-3.402532973144566
1.2153504361330103	-3.394937141678945
1.2198057410950816	-3.3873202433336416
1.224253441168384	-3.379682226810203
1.2286934727143564	-3.372023040596739
1.2331257715919122	-3.3643426329672113
1.2375502731523664	-3.3566409519806815
1.241966912234208	-3.348917945480613
1.246375623157879	-3.3411735610941493
1.250776339720476	-3.3334077462313645
1.2551689951903504	-3.325620448084614
1.2595535223017058	-3.3178116136277795
1.2639298532490602	-3.3099811896156317
1.2682979196816901	-3.302129122583123
1.2726576526979914	-3.294255358844711
1.2770089828397653	-3.2863598444936994
1.2813518400864456	-3.278442525401586
1.2856861538492441	-3.270503347217395
1.2900118529652256	-3.262542255367073
1.2943288656913048	-3.2545591950528534
1.2986371196981965	-3.24655411125261
1.3029365420642514	-3.238526948719296
1.3072270592692476	-3.230477651980308
1.3115085971880767	-3.2224061653369396
1.315781081084369	-3.214312432863802
1.3200444356040457	-3.2061963984082578
1.3242985847687696	-3.198058005589885
1.3285434519693355	-3.1898971977999366
1.3327789599589517	-3.1817139182008387
1.337005030846455	-3.173508109725705
1.3412215860894525	-3.1652797150778014
1.3454285464873377	-3.157028676730134
1.3496258321742578	-3.14875493692496
1.353813362611973	-3.140458437673363
1.357991056582624	-3.1321391207548315
1.362158832181413	-3.12379692771687
1.3663166068091857	-3.1154317998746164
1.3704642971649363	-3.10704367831046
1.3746018192381906	-3.098632503873719
1.3787290883013128	-3.0901982171803195
1.3828460189016876	-3.0817407586125087
1.3869525248538537	-3.0732600683185347
1.3910485192314626	-3.0647560862124505
1.3951339143592014	-3.056228751973848
1.3992086218045767	-3.04767800504765
1.4032725523695901	-3.039103784643958
1.4073256160823215	-3.0305060297378796
1.4113677221883976	-3.0218846790694114
1.4153987791423424	-3.0132396711433342
1.4194186945988299	-3.0045709442291395
1.4234273754038038	-2.995878436361008
1.4274247275855088	-2.987162085337769
1.431410656345358	-2.978421828722966
1.4353850660487328	-2.9696576038448965
1.4393478602156418	-2.9608693477966663
1.4432989415112363	-2.9520569974363617
1.44723821173624	-2.9432204893871776
1.4511655718172092	-2.934359760037642
1.4550809217967071	-2.925474745541823
1.4589841608233172	-2.916565381819629
1.4628751871415426	-2.907631604557087
1.4667538980815527	-2.8986733492067422
1.4706201900488223	-2.88969055098802
1.4744739585135969	-2.8806831448876986
1.478315098000243	-2.8716510656603953
1.4821435020764642	-2.8625942478290645
1.4859590633423427	-2.853512625685621
1.48976167341925	-2.8444061332915793
1.493551222938622	-2.835274704478691
1.4973276015305514	-2.826118272849753
1.501090697812269	-2.8169367717793374
1.5048403993764254	-2.807730134414679
1.5085765927792554	-2.798498293676556
1.5122991635285554	-2.789241182260265
1.5160079960714914	-2.7799587326366826
1.5197029737822902	-2.7706508770532814
1.5233839789496935	-2.761317547535374
1.5270508927643152	-2.7519586758872436
1.5307035953057562	-2.742574193693508
1.5343419655296073	-2.7331640323204374
1.5379658812542234	-2.7237281229174064
1.5415752191473528	-2.7142663964184024
1.5451698547125596	-2.7047787835436043
1.5487496622754862	-2.6952652148010445
1.5523145149699051	-2.6857256204883493
1.5558642847235722	-2.676159930694609
1.5593988422439318	-2.6665680753022247
1.5629180570035552	-2.656949983988999
1.5664217972254564	-2.6473055862301385
1.569909929868135	-2.6376348113005244
1.5733823206104633	-2.62793758827694
1.576838833836331	-2.6182138460405078
1.5802793326190985	-2.608463513279146
1.5837036787058327	-2.5986865184901644
1.5871117325013149	-2.5888827899829594
1.590503353051822	-2.5790522558818605
1.5938783980287086	-2.5691948441290218
1.5972367237117293	-2.559310482487484
1.6005781849721523	-2.5493990985443555
1.6039026352556223	-2.539460619714062
1.6072099265647986	-2.529494973241792
1.6104999094417383	-2.519502086207051
1.6137724329500287	-2.509481885527345
1.6170273446566987	-2.499434297961981
1.6202644906138346	-2.4893592501160864
1.623483715339982	-2.479256668444657
1.6266848618012464	-2.4691264792568925
1.6298677713921657	-2.4589686087205544
1.6330322839162852	-2.4487829828665957
1.6361782375664597	-2.438569527593913
1.6393054689049196	-2.428328168674205
1.6424138128429973	-2.418058831757114
1.6455031026206146	-2.407761442375479
1.64857316978545	-2.397435925950797
1.6516238441718365	-2.387082207798846
1.6546549538793427	-2.376700213135548
1.6576663252510644	-2.3662898670829837
1.6606577828516056	-2.3558510946756277
1.6636291494447433	-2.3453838208668305
1.6665802459707801	-2.334887970535478
1.6695108915235861	-2.324363468492873
1.6724209033272992	-2.3138102394898676
1.6753100967127086	-2.3032282082242177
1.6781782850932965	-2.2926172993481986
1.6810252799409493	-2.2819774374764363
1.6838508907613148	-2.271308547194036
1.686654925068814	-2.2606105530649567
1.689437188361311	-2.2498833796406226
1.6921974840944092	-2.2391269514688688
1.694935613655386	-2.228341193103157
1.6976513763367627	-2.2175260291120664
1.700344569309511	-2.206681384089094
1.7030149875958522	-2.1958071826627963
1.7056624240417047	-2.184903349507197
1.7082866692887135	-2.1739698093525837
1.7108875117459192	-2.1630064869965673
1.7134647375609786	-2.152013307315599
1.7160181305910256	-2.1409901952767503
1.7185474723731036	-2.1299370759498677
1.7210525420941685	-2.118853874520162
1.7235331165607	-2.10774051630112
1.7259889701678415	-2.0965969267479294
1.7284198748681656	-2.085423031471109
1.7308256001399367	-2.0742187562508034
1.7332059129549828	-2.062984027051326
1.7355605777460905	-2.051718770036233
1.737889356373945	-2.040422911583848
1.7401920080936155	-2.0290963783032567
1.7424682895205794	-2.0177390970507525
1.7447179545962532	-2.0063509949468425
1.7469407545530684	-1.9949319993937122
1.7491364378790537	-1.9834820380932343
1.7513047502819266	-1.9720010390655192
1.7534454346526795	-1.960488930668064
1.7555582310286935	-1.9489456416153854
1.757642876556315	-1.9373711009993166
1.7596991054529434	-1.9257652383098667
1.7617266489685808	-1.9141279834567342
1.7637252353468713	-1.9024592667914657
1.7656945897856153	-1.8907590191301908
1.7676344343967296	-1.8790271717771672
1.7695444881656959	-1.8672636565488765
1.7714244669104373	-1.8554684057989563
1.7732740832396627	-1.843641352443796
1.775093046510649	-1.8317824299889114
1.7768810627864622	-1.8198915725560911
1.7786378347926162	-1.8079687149113395
1.7803630618731625	-1.796013792493634
1.7820564399462002	-1.7840267414445492
1.7837176614588088	-1.772007498638727
1.785346415341402	-1.7599560017152347
1.7869423869614824	-1.7478721891098765
1.7885052580768233	-1.735756000088369
1.790034706788032	-1.7236073747805924
1.7915304074905358	-1.7114262542157108
