# fichier jupiter.txt
##############################################################################
# Position prevue de la planète Jupiter par rapport au Soleil.
# Les donnees sont toutes prises a un jour d'intervalle.
# La premiere ligne correspond au 1er janvier 2021.
# Les distances sont exprimees en unite astronomique (au) : 1 au = 1.496e+11 m
##############################################################################
X (abscisse)	Y (ordonnee)
3.492892464488331	-4.178215096257314
3.498349396918892	-4.173524682687965
3.503799920811564	-4.16882662374435
3.509244025853747	-4.164120927642565
3.5146817017419076	-4.15940760261159
3.520112938181598	-4.154686656893268
3.5255377248874358	-4.149958098742346
3.530956051583163	-4.145221936426401
3.536367908001635	-4.140478178225885
3.5417732838848313	-4.135726832434092
3.5471721689838622	-4.130967907357186
3.5525645530590295	-4.12620141131413
3.557950425879753	-4.12142735263677
3.5633297772246695	-4.11664573966975
3.5687025968816033	-4.11185658077054
3.57406887464759	-4.107059884309423
3.5794286003288613	-4.102255658669515
3.5847817637409185	-4.097443912246709
3.590128354708486	-4.092624653449709
3.5954683630655517	-4.087797890700019
3.6008017786553856	-4.08296363243191
3.606128591330542	-4.078121887092446
3.6114487909528616	-4.073272663141472
3.6167623673935188	-4.068415969051582
3.622069310533003	-4.063551813308145
3.6273696102611463	-4.058680204409282
3.6326632564771226	-4.0538011508658744
3.6379502390895	-4.048914661201521
3.643230548016186	-4.044020743952594
3.6485041731845174	-4.039119407668165
3.653771104531216	-4.0342106609100545
3.6590313320024297	-4.029294512252786
3.664284845553741	-4.024370970283602
3.6695316351501592	-4.0194400436024695
3.674771690766192	-4.014501740822018
3.6800050023857778	-4.00955607056761
3.6852315600023644	-4.004603041477279
3.690451353618899	-3.999642662201733
3.6956643732478196	-3.994674941404388
3.7008706089111074	-3.9896998877613017
3.706070050640301	-3.984717509961192
3.711262688476443	-3.979727816705466
3.7164485124701843	-3.974730816708154
3.721627512681747	-3.9697265186959347
3.726799679180923	-3.964714931408152
3.731965002047129	-3.9596960635967595
3.7371234713694044	-3.9546699240263394
3.7422750772464153	-3.9496365214740967
3.747419809786468	-3.944595864729863
3.7525576591075325	-3.9395479625960697
3.7576886153372713	-3.9344928238877332
3.762812668612995	-3.929430457432505
3.7679298090817386	-3.924360872070599
3.7730400269002637	-3.9192840766548067
3.7781433122350228	-3.9142000800505232
3.7832396552622374	-3.9091088911356975
3.7883290461678754	-3.9040105188008423
3.793411475147658	-3.898904971949044
3.7984869324071107	-3.893792259495925
3.8035554081615515	-3.888672390369649
3.808616892636081	-3.8835453735109486
3.813671376065647	-3.8784112178730625
3.818718848695016	-3.873269932421775
3.8237593007788253	-3.8681215261353663
3.8287927225815475	-3.8629660080046606
3.833819104377545	-3.85780338703298
3.838838436451082	-3.852633672236126
3.8438507090962917	-3.8474568726424416
3.848855912617256	-3.8422729972927203
3.8538540373279733	-3.8370820552402525
3.858845073552393	-3.8318840555508005
3.8638290116244085	-3.8266790073026113
3.8688058418878994	-3.8214669195863764
3.873775554696722	-3.816247801505259
3.8787381404147325	-3.811021662174866
3.8836935894158056	-3.8057885107232465
3.8886418920838257	-3.8005483562909035
3.8935830388127273	-3.7953012080307613
3.898517020006513	-3.790047075108155
3.9034438260792346	-3.784785966700855
3.908363447455009	-3.7795178919990624
3.9132758745680802	-3.7742428602053497
3.918181097862799	-3.768960880534695
3.9230791077936042	-3.7636719622144974
3.927969894825098	-3.758376114484517
3.932853449432036	-3.753073346596894
3.9377297620993117	-3.747763667816166
3.94259882332202	-3.7424470874192104
3.9474606236054477	-3.7371236146952684
3.9523151534650562	-3.731793258945963
3.9571624034265533	-3.7264560294852402
3.96200236402588	-3.721111935639385
3.9668350258092056	-3.715760986747034
3.9716603793329694	-3.7104031921591427
3.976478415163892	-3.7050385612389816
3.981289123878972	-3.6996671033621418
3.9860924960655044	-3.6942888279165356
3.990888522321114	-3.688903744302359
3.995677193253747	-3.6835118619321126
4.000458499481693	-3.678113190230581
4.005232431633593	-3.672707738634845
4.009998980348481	-3.6672955165942307
4.01475813627575	-3.6618765335703682
4.019509890075206	-3.656450799037127
4.024254232417076	-3.651018322480628
4.028991153981983	-3.6455791133992776
4.033720645461029	-3.640133181303677
4.038442697555749	-3.6346805357166905
4.043157300978151	-3.6292211861734063
4.0478644464507205	-3.6237551422211434
4.052564124706454	-3.6182824134194145
4.05725632648886	-3.6128030093399484
4.061941042551947	-3.6073169395666995
4.066618263660283	-3.601824213695791
4.071287980589	-3.59632484133553
4.075950184123759	-3.5908188321064474
4.080604865060843	-3.5853061956412
4.085252014207118	-3.5797869415846266
4.089891622380042	-3.5742610795937546
4.0945236804077085	-3.568728619337742
4.099148179128868	-3.5631895704978844
4.103765109392892	-3.5576439427676436
4.108374462059828	-3.5520917458526147
4.112976228000428	-3.5465329894704802
4.117570398096095	-3.5409676833511052
4.122156963238966	-3.535395837236432
4.1267359143319124	-3.529817460880501
4.131307242288524	-3.5242325640494707
4.13587093803314	-3.518641156521598
4.140426992500873	-3.5130432480872105
4.144975396637623	-3.5074388485487145
4.149516141400057	-3.501827967720615
4.154049217755679	-3.496210615429451
4.1585746166828095	-3.4905868015138273
4.163092329170584	-3.4849565358244226
4.167602346219015	-3.479319828223932
4.1721046588389745	-3.473676688587097
4.1765992580522004	-3.468027126800702
4.181086134891338	-3.4623711527635432
4.185565280399946	-3.4567087763864235
4.1900366856324816	-3.4510400075921854
4.194500341654357	-3.4453648563156585
4.198956239541937	-3.4396833325036553
4.203404370382548	-3.433995446114988
4.207844725274492	-3.4283012071204553
4.212277295327065	-3.422600625502832
4.216702071660585	-3.4168937112568414
4.221119045406382	-3.411180474389183
4.2255282077068195	-3.405460924918512
4.229929549715324	-3.399735072875421
4.234323062596382	-3.394002928302443
4.238708737525553	-3.388264501254054
4.243086565689521	-3.3825198017966267
4.247456538286045	-3.3767688400084834
4.251818646524024	-3.371011625979843
4.2561728816235025	-3.3652481698128174
4.260519234815662	-3.3594784816214345
4.2648576973428645	-3.353702571531601
4.269188260458649	-3.3479204496811037
4.27351091542776	-3.3421321262195898
4.277825653526133	-3.3363376113086156
4.2821324660409505	-3.3305369151215527
4.286431344270637	-3.3247300478436337
4.290722279524845	-3.318917019671973
4.295005263124524	-3.313097840815472
4.299280286401903	-3.307272521494888
4.303547340700488	-3.3014410719428167
4.307806417375136	-3.2956035024036314
4.3120575077920025	-3.289759823133541
4.316300603328589	-3.2839100444005633
4.320535695373775	-3.2780541764844733
4.324762775327788	-3.2721922296768677
4.328981834602255	-3.2663242142811093
4.333192864620202	-3.2604501406123285
4.33739585681607	-3.254570018997426
4.3415908026357375	-3.2486838597750523
4.345777693536517	-3.242791673295617
4.3499565209871855	-3.236893469921271
4.354127276468008	-3.2309892600258765
4.358289951470721	-3.2250790539950542
4.362444537498566	-3.2191628622261366
4.366591026066331	-3.213240695128139
4.370729408700298	-3.2073125631218247
4.374859676938324	-3.2013784766396287
4.378981822329839	-3.195438446125659
4.383095836435813	-3.189492482035757
4.387201710828847	-3.183540594837385
4.391299437093144	-3.1775827950096804
4.395389006824502	-3.171619093043483
4.399470411630392	-3.1656494994412303
4.40354364312992	-3.1596740247170287
4.4076086929538665	-3.153692679396612
4.411665552744688	-3.1477054740173496
4.4157142141565435	-3.1417124191282277
4.419754668855305	-3.135713525289842
4.423786908518566	-3.1297088030744
4.427810924835671	-3.1236982630656924
4.431826709507717	-3.117681915859119
4.435834254247565	-3.1116597720616532
4.439833550779884	-3.1056318422918276
4.443824590841129	-3.0995981371797576
4.447807366179576	-3.093558667367114
4.451781868555327	-3.087513443507123
4.455748089740355	-3.0814624762645253
4.459706021518462	-3.07540577631564
4.463655655685343	-3.0693433543482893
4.4675969840486	-3.0632752210617955
4.471529998427725	-3.0572013871670216
4.475454690654123	-3.051121863386334
4.479371052571161	-3.045036660453571
4.483279076034148	-3.0389457891140728
4.487178752910356	-3.0328492601246575
4.491070075079043	-3.0267470842536213
4.494953034431475	-3.0206392722806994
4.4988276228709125	-3.0145258349971127
4.502693832312659	-3.008406783205511
4.506551654684056	-3.0022821277199823
4.510401081924506	-2.9961518793660566
4.514242105985481	-2.990016048980683
4.518074718830552	-2.983874647412212
4.521898912435379	-2.9777276855204216
4.525714678787751	-2.971575174176481
4.529522009887588	-2.9654171242629532
4.533320897746977	-2.9592535466737515
4.537111334390144	-2.9530844523142155
4.540893311853508	-2.9469098521010153
4.54466682218569	-2.940729756962184
4.548431857447503	-2.9345441778371244
4.5521884097120076	-2.928353125676555
4.5559364710644985	-2.9221566114425297
4.559676033602514	-2.915954646108457
4.563407089435892	-2.9097472406590157
4.567129630686734	-2.903534406090227
4.570843649489451	-2.897316153409406
4.57454913799078	-2.8910924936351496
4.578246088349788	-2.8848634377973332
4.581934492737881	-2.878628996937134
4.585614343338842	-2.872389182106973
4.589285632348833	-2.8661440043705295
4.592948351976403	-2.8598934748027376
4.59660249444252	-2.8536376044897747
4.600248051980576	-2.847376404529045
4.603885016836405	-2.8411098860291792
4.607513381268286	-2.8348380601100307
4.61113313754699	-2.8285609379026546
4.614744277955775	-2.8222785305492852
4.618346794790381	-2.8159908492033843
4.621940680359085	-2.8096979050295743
4.625525926982704	-2.8033997092036333
4.629102526994584	-2.7970962729125426
4.632670472740653	-2.7907876073544124
4.636229756579422	-2.7844737237384956
4.639780370881981	-2.7781546332852116
4.643322308032053	-2.771830347226079
4.646855560425972	-2.7655008768037606
4.650380120472739	-2.759166233271997
4.6538959805939815	-2.752826427895679
4.657403133224025	-2.7464814719507653
4.660901570809883	-2.7401313767242916
4.66439128581127	-2.7337761535143934
4.667872270700615	-2.727415813630269
4.671344517963109	-2.7210503683921523
4.674808020096663	-2.7146798291313696
4.678262769611978	-2.7083042071902637
4.681708759032545	-2.701923513922189
4.685145980894632	-2.695537760691576
4.688574427747342	-2.689146958873829
4.691994092152603	-2.6827511198553693
4.695404966685191	-2.6763502550336216
4.698807043932742	-2.6699443758169976
4.702200316495777	-2.6635334936248785
4.705584776987707	-2.6571176198876194
4.708960418034849	-2.650696766046556
4.712327232276457	-2.644270943553943
4.71568521236472	-2.6378401638730002
4.7190343509647885	-2.6314044384778708
4.722374640754777	-2.6249637788536395
4.725706074425806	-2.618518196496276
4.729028644681978	-2.6120677029127
4.732342344240441	-2.605612309620685
4.73564716583137	-2.5991520281489087
4.7389431021979895	-2.592686870036935
4.74223014609659	-2.586216846835202
4.745508290296559	-2.579741970104984
4.7487775275803825	-2.573262251418414
4.752037850743645	-2.566777702358496
4.755289252595079	-2.5602883345190337
4.758531725956573	-2.5537941595046525
4.761765263663157	-2.547295188930822
4.764989858563058	-2.540791434423792
4.768205503517702	-2.534282907620592
4.771412191401711	-2.5277696201690865
4.774609915102948	-2.5212515837278695
4.777798667522518	-2.5147288099663188
4.7809784415747805	-2.5082013105645777
4.7841492301873805	-2.5016690972135227
4.787311026301254	-2.495132181614762
4.79046382287063	-2.4885905754806736
4.793607612863081	-2.482044290534304
4.79674238925951	-2.47549333850944
4.799868145054193	-2.4689377311505325
4.802984873254742	-2.46237748021279
4.806092566882198	-2.455812597462028
4.809191218970984	-2.449243094674774
4.812280822568946	-2.442668983638213
4.815361370737379	-2.4360902761501624
4.818432856551021	-2.4295069840190986
4.821495273098077	-2.4229191190641277
4.824548613480242	-2.416326693114981
4.827592870812724	-2.4097297180119694
4.830628038224223	-2.4031282056060688
