element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Hg	2	"78.2494"	"0.0005"	"78.25003"	"0.00010"	"300"	"1.0e+07"	"1.8e-03"		"0.000"	"127795.481"	"5d10.6s"	"2S"	"1/2"	"5d10.8p"	"2P*"	"3/2"		"T7226"	"L11760"	
Hg	1	"78.264"	"0.005"	"78.264"	"0.005"	"a"	""	""		"0.000"	"127773"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).5f"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"78.5840"	"0.0009"	"78.5840"	"0.0009"	"a"	""	""		"0.000"	"127252.4"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).8p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"78.757"	"0.007"	"78.757"	"0.007"	"10h"	""	""		"0.000"	"126973"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).8p"	"2[1/2]*"	"1"		""	"L15166c86"	
Hg	2	"78.7757"	"0.0005"	"78.77623"	"0.00010"	"150"	"3.1e+07"	"2.9e-03"		"0.000"	"126941.844"	"5d10.6s"	"2S"	"1/2"	"5d10.8p"	"2P*"	"1/2"		"T7226"	"L11760"	
Hg	2	"80.2469"	"0.0005"	"80.24729"	"0.00010"	"250"	"1.9e+07"	"3.7e-03"		"0.000"	"124614.794"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"3/2"		"T7226"	"L11760"	
Hg	2	"82.1329"	"0.0005"	"82.13300"	"0.00010"	"15000"	"1.4e+08"	"1.4e-02"		"0.000"	"121753.739"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"1/2"		"T7226"	"L11760"	
Hg	1	"82.844"	"0.005"	"82.844"	"0.005"	"a"	""	""		"0.000"	"120709"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).7p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"83.366"	"0.007"	"83.366"	"0.007"	"20h,s"	""	""		"0.000"	"119953"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<3/2>).7p"	"2[1/2]*"	"1"		""	"L15166c86"	
Hg	1	"83.8422"	"0.0009"	"83.8422"	"0.0009"	"a"	""	""		"0.000"	"119271.7"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).20p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"83.8870"	"0.0009"	"83.8870"	"0.0009"	"a"	""	""		"0.000"	"119208.0"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).19p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"83.9371"	"0.0009"	"83.9371"	"0.0009"	"a"	""	""		"0.000"	"119136.8"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).18p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.0071"	"0.0009"	"84.0071"	"0.0009"	"a"	""	""		"0.000"	"119037.6"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).17p"	"2[3/2]*"	"1"		""	"L400"	
Hg	1	"84.0827"	"0.0025"	"84.082"	"0.003"	"a*"	""	""		"0.000"	"118931.2"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).13f"	"2[1/2]*"	"1"		""	"L2725"	
Hg	1	"84.0827"	"0.0025"	"84.083"	"0.003"	"a*"	""	""		"0.000"	"118930.3"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).13f"	"2[3/2]*"	"1"		""	"L2725"	
Hg	1	"84.0960"	"0.0009"	"84.0960"	"0.0009"	"a"	""	""		"0.000"	"118911.7"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).16p"	"2[3/2]*"	"1"		""	"L400"	
