element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Na	10	"1.1088"	"0.0003"	"1.10829008"	"0.00000003"	""	"1.40e+10"	"7.73e-04"		"0.0"	"(9022908.5)"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"		"T6910"	"L4776"	
Na	9	"1.1088"	"0.0003"	"1.10895"	"0.00025"	"*"	""	""		"0"	"9017500"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(1P*)"	"2P*"	"3/2"		""	"L4776"	
Na	9	"1.1088"	"0.0003"	"1.10903"	"0.00025"	"*"	""	""		"0"	"9016900"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(1P*)"	"2P*"	"1/2"		""	"L4776"	
Na	9	"1.1155"	"0.0003"	"1.11542"	"0.00025"	"*"	""	""		"0"	"8965200"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"2P*"	"3/2"		""	"L4776"	
Na	9	"1.1155"	"0.0003"	"1.11561"	"0.00025"	"*"	""	""		"0"	"8963700"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"2P*"	"1/2"		""	"L4776"	
Na	10	"1.1192"	"0.0004"	"1.11914801"	"0.00000004"	""	""	""		"0.0"	"(8935368.6)"	"1s2"	"1S"	"0"	"1s.2s"	"3S"	"1"	M1	""	"L3784"	
Na	9	"1.1202"	"0.0003"	"1.1195"	"0.0003"	"*"	""	""		"144062"	"(9076400)"	"1s2.2p"	"2P*"	"1/2"	"1s.2p2"	"2D"	"3/2"		""	"L4776"	
Na	9	"1.1202"	"0.0003"	"1.1199"	"0.0003"	"*"	""	""		"146688"	"(9076400)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2D"	"3/2"		""	"L4776"	
Na	9	"1.1202"	"0.0003"	"1.1200"	"0.0003"	"*"	""	""		"146688"	"(9075600)"	"1s2.2p"	"2P*"	"3/2"	"1s.2p2"	"2D"	"5/2"		""	"L4776"	
Na	11	""	""	"3.2732032"	"0.0000010"	""	"3.84e+10"	"1.23e-02"		"(9971484.9)"	"(13026596.135)"	"2p"	"2P*"	"1/2"	"7d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.2733316"	"0.0000010"	""	"2.25e+09"	"3.61e-04"		"(9971484.9)"	"(13026476.331)"	"2p"	"2P*"	"1/2"	"7s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.2734483"	"0.0000010"	""	"2.63e+10"	"8.45e-03"		"(9971713.8)"	"(13026596.357)"	"2s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.2735827"	"0.0000010"	""	"2.64e+10"	"4.24e-03"		"(9971713.8)"	"(13026470.906)"	"2s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.27893352"	"0.00000010"	""	"4.59e+10"	"1.11e-02"		"(9976865.74)"	"(13026637.854)"	"2p"	"2P*"	"3/2"	"7d"	"2D"	"5/2"		"T7771"	"L3620"	
Na	11	""	""	"3.27897837"	"0.00000010"	""	"7.63e+09"	"1.23e-03"		"(9976865.74)"	"(13026596.135)"	"2p"	"2P*"	"3/2"	"7d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.27910718"	"0.00000010"	""	"4.55e+09"	"3.67e-04"		"(9976865.74)"	"(13026476.331)"	"2p"	"2P*"	"3/2"	"7s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"3.3815684"	"0.0000010"	""	"6.31e+10"	"2.16e-02"		"(9971484.9)"	"(12928692.533)"	"2p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"3.3817860"	"0.0000010"	""	"3.60e+09"	"6.17e-04"		"(9971484.9)"	"(12928502.263)"	"2p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"		"T7771"	"L3620"	
