# fichier tchouri.txt
##############################################################################
# Position prevue de la comète Tchouri par rapport au Soleil.
# Les donnees sont toutes prises a 47 jours d'intervalle.
# La premiere ligne correspond au 1er janvier 2021, la deuxième au 07/02/21...
# Les distances sont exprimees en unite astronomique (au) : 1 au = 1.496e+11 m
##############################################################################
X (abscisse)	Y (ordonnee)
1.170392768772621	-3.469955806317638
1.3746018192381906	-3.098632503873719
1.5558642847235722	-2.676159930694609
1.7030149875958522	-2.1958071826627963
1.798491029171389	-1.6500312261614505
1.8132566844909548	-1.0322541247992125
1.69752863889719	-0.3441400572442032
1.3698004829811934	0.3785093691369559
0.7453077082912579	1.0029292092320874
-0.10647283829681843	1.3117846774015434
-0.9446973482975541	1.266165210793149
-1.640160885615849	1.0095037573255403
-2.1904011566129618	0.6574821659518599
-2.622806456871869	0.26785022168861555
-2.962553099838177	-0.13224876674591363
-3.2285376444259297	-0.5295729521724195
-3.4345486750396765	-0.9173568576360124
-3.590760641777347	-1.292024503037997
-3.704839583381851	-1.6516545161628398
-3.782690758069918	-1.9952193684269248
-3.8289587284352447	-2.3221874617722045
-3.847366004519112	-2.632305229522979
-3.840946880714557	-2.9254731291747422
-3.812212366598219	-3.201672743729876
-3.763268975029252	-3.460922711658752
-3.6959059975700947	-3.703251393177279
-3.6116608442047267	-3.9286794667413214
-3.51186884254164	-4.137208498576128
-3.3977018539528507	-4.328813114573125
-3.2701987359328	-4.503435312152257
-3.1302897998526413	-4.660979981196618
-2.9788168217829023	-4.801311018723674
-2.8165497625415643	-4.92424760978278
-2.64420107984532	-5.0295603566503475
-2.4624383314960276	-5.116966997857372
-2.2718956496113414	-5.186127483842346
-2.0731845974697753	-5.2366381756735025
-1.8669048951203657	-5.268024911236213
-1.6536555158647548	-5.27973464008392
-1.4340467171306683	-5.271125261554095
-1.2087136869812098	-5.241453205713243
-0.9783326817709812	-5.189858164967084
-0.7436408357820409	-5.115344203471126
-0.5054612977668977	-5.016756224309448
-0.2647360892082729	-4.892750436739593
-0.02257025067035509	-4.7417570063403565
0.21970726366531065	-4.561932453480555
0.46045734418762413	-4.351098561913744
0.6976051809610768	-4.106663593870513
0.9284520139983988	-3.825520697497438
1.1493835037376672	-3.503918372141064
